kommunenummer,kommunenavn,,,
0,0,fylkenavn,F0-24,M0-24
5018,Åfjord,Trøndelag,451,504
5016,Agdenes,Trøndelag,213,242
619,Ål,Østlandet ellers,662,681
1504,Ålesund,Vestlandet,7031,7692
1820,Alstahaug,Nord-Norge,1025,1104
2012,Alta,Nord-Norge,3453,3632
438,Alvdal,Hedmark og Oppland,358,402
929,Åmli,Agder og Rogaland,271,278
429,Åmot,Hedmark og Oppland,599,723
1871,Andøy,Nord-Norge,592,702
1424,Årdal,Vestlandet,644,756
118,Aremark,Østlandet ellers,158,191
906,Arendal,Agder og Rogaland,6334,6739
214,Ås,Akershus og Oslo,3423,3439
1026,Åseral,Agder og Rogaland,159,162
220,Asker,Akershus og Oslo,9627,10192
124,Askim,Østlandet ellers,2206,2383
1247,Askøy,Vestlandet,4904,5181
1428,Askvoll,Vestlandet,424,441
425,Åsnes,Hedmark og Oppland,836,885
1027,Audnedal,Agder og Rogaland,314,291
1547,Aukra,Vestlandet,568,555
1576,Aure,Vestlandet,467,483
1421,Aurland,Vestlandet,234,222
221,Aurskog-Høland,Akershus og Oslo,2322,2409
1244,Austevoll,Vestlandet,848,915
1264,Austrheim,Vestlandet,399,440
1554,Averøy,Vestlandet,818,877
219,Bærum,Akershus og Oslo,19159,20474
1418,Balestrand,Vestlandet,181,184
1854,Ballangen,Nord-Norge,297,365
1933,Balsfjord,Nord-Norge,722,777
814,Bamble,Østlandet ellers,1925,2113
1922,Bardu,Nord-Norge,614,709
2028,Båtsfjord,Nord-Norge,328,299
1839,Beiarn,Nord-Norge,109,122
1929,Berg,Nord-Norge,107,112
1201,Bergen,Vestlandet,41858,42945
2024,Berlevåg,Nord-Norge,105,121
1811,Bindal,Nord-Norge,178,221
928,Birkenes,Agder og Rogaland,861,954
1114,Bjerkreim,Agder og Rogaland,485,499
5017,Bjugn,Trøndelag,694,730
1867,Bø (Nordland),Nord-Norge,283,340
821,Bø (Telemark),Østlandet ellers,1017,1209
1804,Bodø,Nord-Norge,7804,8161
1145,Bokn,Agder og Rogaland,115,143
1219,Bømlo,Vestlandet,1920,2124
1438,Bremanger,Vestlandet,504,556
1813,Brønnøy,Nord-Norge,1196,1217
938,Bygland,Agder og Rogaland,162,159
941,Bykle,Agder og Rogaland,134,158
2025,Deatnu - Tana,Nord-Norge,342,396
1850,Divtasvuodna - Tysfjord,Nord-Norge,224,245
1827,Dønna,Nord-Norge,176,206
511,Dovre,Hedmark og Oppland,309,350
602,Drammen,Østlandet ellers,9824,10157
817,Drangedal,Østlandet ellers,563,610
1926,Dyrøy,Nord-Norge,130,151
1443,Eid,Vestlandet,983,1034
1551,Eide,Vestlandet,531,563
1232,Eidfjord,Vestlandet,116,118
125,Eidsberg,Østlandet ellers,1519,1696
420,Eidskog,Hedmark og Oppland,716,746
237,Eidsvoll,Akershus og Oslo,3561,3864
1101,Eigersund,Agder og Rogaland,2276,2396
427,Elverum,Hedmark og Oppland,3048,3201
229,Enebakk,Akershus og Oslo,1670,1779
434,Engerdal,Hedmark og Oppland,137,184
1211,Etne,Vestlandet,609,673
541,Etnedal,Hedmark og Oppland,163,190
1853,Evenes,Nord-Norge,166,184
937,Evje og Hornnes,Agder og Rogaland,521,624
729,Færder,Østlandet ellers,3626,3987
1003,Farsund,Agder og Rogaland,1453,1578
1841,Fauske - Fuosko,Nord-Norge,1304,1417
1265,Fedje,Vestlandet,85,79
227,Fet,Akershus og Oslo,1707,1871
1141,Finnøy,Agder og Rogaland,467,536
1222,Fitjar,Vestlandet,536,534
1429,Fjaler,Vestlandet,473,447
1246,Fjell,Vestlandet,4413,4624
615,Flå,Østlandet ellers,121,153
1859,Flakstad,Nord-Norge,168,170
5049,Flatanger,Trøndelag,129,151
