,kommunenummer,F0-24,M0-24,F25-45,F45-67,F67-79,F79-105,M25-45,M45-67,M67-79,M79-105
0,5018,451,504,309,500,217,154,336,545,225,99
1,5016,213,242,152,253,112,95,164,279,122,61
2,619,662,681,470,714,299,207,493,733,279,132
3,1504,7031,7692,6349,6304,2377,1423,6997,6705,2257,863
4,1820,1025,1104,846,1113,498,208,873,1118,462,168
5,2012,3453,3632,2611,2809,895,440,2812,2829,879,305
6,438,358,402,249,356,131,94,267,363,137,61
7,929,271,278,206,247,108,66,233,272,127,40
8,429,599,723,449,587,277,167,575,645,276,108
9,1871,592,702,461,697,353,222,509,730,363,142
10,1424,644,756,514,785,341,248,589,882,334,152
11,118,158,191,128,224,84,53,132,248,94,45
12,906,6334,6739,5484,6726,2590,1311,5599,6595,2515,892
13,214,3423,3439,2764,2530,867,489,2960,2679,827,356
14,1026,159,162,91,132,43,38,100,160,34,20
15,220,9627,10192,7441,9027,2920,1783,7383,9150,2821,1179
16,124,2206,2383,1914,2421,1008,447,1926,2349,928,283
17,1247,4904,5181,4048,3590,1320,558,3994,3951,1305,424
18,1428,424,441,290,440,207,149,294,456,230,107
19,425,836,885,714,1163,566,320,721,1179,594,236
20,1027,314,291,208,227,80,57,216,258,95,34
21,1547,568,555,433,435,216,116,445,471,212,88
22,1576,467,483,350,511,248,150,378,598,271,97
23,1421,234,222,206,270,107,73,233,267,106,46
24,221,2322,2409,2036,2356,1023,472,2028,2590,921,343
25,1244,848,915,662,619,245,161,692,701,273,96
26,1264,399,440,336,353,206,89,367,430,204,63
27,1554,818,877,629,863,354,175,704,909,391,129
28,219,19159,20474,16155,18285,6125,4135,16056,18418,5559,2475
29,1418,181,184,134,203,80,50,124,215,78,30
30,1854,297,365,233,381,186,100,247,396,185,78
31,1933,722,777,568,794,407,224,630,921,394,188
32,814,1925,2113,1516,2207,946,397,1573,2179,951,282
33,1922,614,709,453,486,261,128,560,506,236,77
34,2028,328,299,246,315,118,58,374,365,136,31
35,1839,109,122,84,164,82,50,90,183,91,47
36,1929,107,112,98,127,55,46,116,143,65,19
37,1201,41858,42945,40446,35951,13230,8286,44297,37229,11956,4988
38,2024,105,121,91,155,68,40,133,159,84,25
39,1811,178,221,111,221,123,60,132,225,130,49
40,928,861,954,656,640,266,109,696,682,269,79
41,1114,485,499,343,366,111,57,358,405,143,40
42,5017,694,730,544,694,316,167,551,746,342,120
43,1867,283,340,227,411,207,165,232,445,213,93
44,821,1017,1209,864,818,354,194,930,780,346,118
45,1804,7804,8161,6982,7246,2556,1270,7466,7225,2418,896
46,1145,115,143,90,113,47,39,83,133,53,24
47,1219,1920,2124,1400,1536,601,354,1481,1680,651,213
48,1438,504,556,346,502,258,204,362,585,249,139
49,1813,1196,1217,896,1194,438,248,925,1206,428,168
50,938,162,159,128,178,68,43,133,196,95,30
51,941,134,158,125,143,40,16,125,154,46,12
52,2025,342,396,299,449,194,92,359,483,221,65
53,1850,224,245,176,286,139,72,223,341,171,48
54,1827,176,206,119,220,100,47,142,223,121,37
55,511,309,350,238,421,212,117,278,407,200,83
56,602,9824,10157,9443,9434,3923,2156,9889,9408,3343,1356
57,817,563,610,413,617,270,139,433,666,265,104
58,1926,130,151,98,184,95,47,104,181,102,37
59,1443,983,1034,678,830,332,214,705,895,340,140
60,1551,531,563,393,456,194,102,410,517,192,75
61,1232,116,118,94,151,51,44,102,152,55,23
62,125,1519,1696,1333,1695,716,389,1444,1733,654,245
63,420,716,746,575,1044,443,275,582,1108,468,157
64,237,3561,3864,3448,3453,1325,560,3522,3588,1249,349
65,1101,2276,2396,1728,2049,790,453,1958,2119,811,250
66,427,3048,3201,2598,3098,1344,709,2545,2993,1206,449
67,229,1670,1779,1451,1521,561,194,1459,1687,573,131
68,434,137,184,106,211,109,66,102,214,118,39
69,1211,609,673,431,532,237,136,491,618,233,116
70,541,163,190,112,186,96,61,124,223,96,54
71,1853,166,184,126,212,113,71,142,213,129,31
72,937,521,624,438,469,221,113,470,472,228,82
73,729,3626,3987,2935,4338,1710,937,2864,4056,1622,625
74,1003,1453,1578,1073,1315,614,313,1105,1413,614,217
75,1841,1304,1417,1082,1457,653,330,1146,1505,643,223
76,1265,85,79,48,84,35,32,40,101,34,24
77,227,1707,1871,1504,1691,555,277,1602,1837,578,220
78,1141,467,536,356,416,155,97,441,450,167,65
79,1222,536,534,362,413,156,98,419,459,175,49
80,1429,473,447,291,331,159,112,282,395,212,68
81,1246,4413,4624,3421,3464,1142,446,3495,3728,1121,312
82,615,121,153,105,156,67,54,124,164,75,33
83,1859,168,170,122,200,84,73,129,214,85,47
84,5049,129,151,97,178,73,35,111,202,93,34
85,1004,1304,1413,962,1290,531,335,1087,1357,551,236
86,631,377,396,291,378,172,86,330,421,173,70
87,1401,1848,1981,1362,1664,569,342,1439,1834,595,217
88,439,183,216,133,241,124,78,156,249,146,51
89,1432,2107,2343,1686,1844,538,312,1795,1749,525,193
90,1129,180,218,129,160,60,42,126,186,71,21
91,5048,64,75,49,104,39,39,51,99,67,18
