komunenummer,komunenavn,alletyper,exercise,smoke,snuff
301,Oslo,612,12.10020688,17.2678032,20.15193717
3001,Halden,641,17.49145106,17.7656623,14.54287373
3002,Moss,655,15.59542005,16.1750112,14.38
3003,Sarpsborg,685,17.40746756,17.6131955,14.57419739
3004,Fredrikstad,690,17.30927899,17.7575272,14.36980481
3005,Drammen,645,15.91392114,16.3320582,14.66
3006,Kongsberg,634,17.00363263,17.7118115,14.59655818
3007,Ringerike,627,17.62115996,17.6873676,14.08898305
3011,Hvaler,708,14.55613577,15.078329,14.42558747
3012,Aremark,653,18.60119048,11.5327381,10.11904762
3013,Marker,630,14.46085261,14.4887155,14.32153803
3014,Indre Østfold,631,13.53328084,14.2197387,14.978
3015,Skiptvet,641,13.22248614,14.2253893,15.12272367
3016,Rakkestad,647,13.49080726,14.3309388,14.58663095
3017,Råde,703,13.22709163,13.8247012,14.28950863
3018,Våler (Viken),749,12.3074167,14.1526335,15.22751702
3019,Vestby,617,8.020661861,18.2948289,22.11500255
3020,Nordre Follo,616,2.373324162,19.5356687,24.07
3021,Ås,592,2.669733027,17.6232377,25.63743626
3022,Frogn,650,8.297476077,17.5518592,20.56386873
3023,Nesodden,637,8.033848725,18.4809862,22.1583786
3024,Bærum,620,12.35877989,16.9487784,18.80543357
3025,Asker,623,10.92146555,17.0987558,17.24
3026,Aurskog-Høland,628,7.451596193,22.8833024,24.46
3027,Rælingen,652,7.996221383,18.9375417,23.17737275
3028,Enebakk,643,7.867324561,19.1611842,22.92580409
3029,Lørenskog,629,2.357326349,17.4180225,24.27340956
3030,Lillestrøm,639,6.04422411,18.9529021,23.4
3031,Nittedal,630,2.574837764,18.6686205,25.0115135
3032,Gjerdrum,570,7.838514808,18.8595845,22.36628849
3033,Ullensaker,620,2.466717836,16.2639282,26.0805124
3034,Nes,604,2.412240397,18.7373645,24.69674692
3035,Eidsvoll,624,2.450186295,17.9410335,25.44548842
3036,Nannestad,674,7.585698489,20.4423148,23.73018798
3037,Hurdal,620,8.032269379,17.2921782,21.25569975
3038,Hole,623,13.17715959,13.9238653,14.97803807
3039,Flå,698,18.3460076,11.4068441,6.653992395
3040,Nesbyen,602,15.10117789,14.0742978,14.58773784
3041,Gol,582,14.71681609,13.6015745,14.34506888
3042,Hemsedal,464,11.71463316,11.2282124,14.22780705
3043,Ål,528,14.50299914,14.4601542,14.28877464
3044,Hol,523,13.57415302,13.3049136,14.67354723
3045,Sigdal,586,15.22798968,14.7691425,14.82649842
3046,Krødsherad,679,14.38142028,13.8901295,15.36400179
3047,Modum,581,14.56616751,14.5446729,15.26832414
3048,Øvre Eiker,599,13.40384313,13.9797895,15.27305095
3049,Lier,640,16.93563771,17.3629392,14.53969707
3050,Flesberg,646,14.82720178,14.0468227,14.75287997
3051,Rollag,588,18.99717514,10.9463277,8.54519774
3052,Nore og Uvdal,496,15.4192229,14.0286299,14.64212679
3053,Jevnaker,621,12.67274331,13.2314025,14.4075272
3054,Lunner,601,12.51804954,13.2733533,13.90647562
3401,Kongsvinger,596,12.69411034,13.5919589,14.01547236
3403,Hamar,586,12.70305916,21.5910188,23.33129604
