"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",8614,9171.49277272672,0.93921460916542,"Oslo",7.05,1,1,0.939329104230752,0.919573032358634,0.959273237227674
"2",1101,"Eigersund",232,219.540318004296,1.05675350254098,"Eigersund",3.875,2,2,1.05829284956713,0.926213996943083,1.19823559176556
"3",1103,"Stavanger",1910,1961.49300481936,0.973748055846824,"Stavanger",5.35,3,3,0.974086042322674,0.930819194153558,1.01822121918619
"4",1106,"Haugesund",657,542.355124344904,1.21138341007393,"Haugesund",4.5,4,4,1.21220604732073,1.12109843466791,1.30648102313254
"5",1108,"Sandnes",951,1051.93691156919,0.904046611104633,"Sandnes",4.975,5,5,0.904603042323331,0.847936244927624,0.962938136698791
"6",1111,"Sokndal",0,51.9030604901982,0,"Sokndal",3.425,6,6,0.0171896645172995,0.000590085209003867,0.0723797064779299
"7",1112,"Lund",47,48.416536752847,0.970742708011562,"Lund",3.05,7,7,0.97471716201907,0.715950892491204,1.26944305445517
"8",1114,"Bjerkreim",0,38.3729804007673,0,"Bjerkreim",3.2,8,8,0.0212819699630257,0.00060448683378507,0.0934390393231075
"9",1119,"HÃ¥",258,261.375561593464,0.987085397070466,"Hå",3.825,9,9,0.98838886677293,0.871196118838208,1.11215342216673
"10",1120,"Klepp",261,264.80535147729,0.985629627739543,"Klepp",4.25,10,10,0.987206243918069,0.870819401827094,1.11007599293152
"11",1121,"Time",245,259.54697426506,0.943952441340331,"Time",4.075,11,11,0.94546245379276,0.830536239870236,1.06702426741653
"12",1122,"Gjesdal",128,151.272623162142,0.84615442850358,"Gjesdal",3.825,12,12,0.848519251135572,0.707666312785437,1.00080461111699
"13",1124,"Sola",309,369.994311447813,0.835147975088757,"Sola",5.05,13,13,0.836740048284805,0.745862462331127,0.932243822562122
"14",1127,"Randaberg",156,161.300702431325,0.967137759777695,"Randaberg",4.825,14,14,0.970352468266808,0.823804720019273,1.12752559374122
"15",1130,"Strand",202,188.594992843099,1.0710782770784,"Strand",3.45,15,15,1.07244621833484,0.929337204416782,1.22472725379688
"16",1133,"Hjelmeland",0,40.4841564689174,0,"Hjelmeland",2.5,16,16,0.0175210942065613,0.000382460311900121,0.0813257759349734
"17",1134,"Suldal",78,59.1585402696199,1.31849095066424,"Suldal",2.325,17,17,1.31877991351199,1.0416671127568,1.62515142924749
"18",1135,"Sauda",102,78.5616106851099,1.29834405265487,"Sauda",2.575,18,18,1.29918112583947,1.05862648260377,1.56161560788129
"19",1144,"KvitsÃ¸y",0,9.4823948224957,0,"Kvitsøy",3.325,19,19,0.0700480152744007,0.00111595854744535,0.346335811437679
"20",1145,"Bokn",0,14.4408639756037,0,"Bokn",3.375,20,20,0.050097888312301,0.00100841145484213,0.236510855936526
"21",1146,"TysvÃ¦r",190,159.150565957079,1.19383804171479,"Tysvær",3.375,21,21,1.19526610885014,1.03096270460536,1.3704150790376
"22",1149,"KarmÃ¸y",749,621.463252194112,1.20522009524395,"Karmøy",4.1,22,22,1.20582820347193,1.12085151119633,1.29359005064
"23",1151,"Utsira",0,3.4084309916528,0,"Utsira",3.025,23,23,0.145659323142049,0.00102708244391928,0.833548822145448
"24",1160,"Vindafjord",163,132.950401865298,1.22602111549198,"Vindafjord",2.675,24,24,1.22674238698555,1.04513534038281,1.42125775740243
"25",1505,"Kristiansund",383,367.556068180112,1.0420178937498,"Kristiansund",3.25,25,25,1.04265533227242,0.94063292154279,1.1494025346212
"26",1506,"Molde",529,495.913666093271,1.0667179313032,"Molde",2.975,26,26,1.06709503102842,0.977889337185948,1.1597547584244
"27",1507,"Ã…lesund",1015,977.64696639681,1.03820707769478,"Ålesund",3.35,27,27,1.03848688055999,0.975472393927771,1.10329219682242
"28",1511,"Vanylven",75,56.8498087242706,1.31926565248021,"Vanylven",2.2,28,28,1.31916805532282,1.03676521842354,1.63201763828738
