kommunenummer,kommunenavn,"Asia/Afrika, Latin-Amerika, Oseania utenom Australia og New",EU/EØS,Europeiske land utenom EU,Norge,Statsløse,unknown,"USA, Canada, Australia og New Zeland"
5018,Åfjord,73,112,5,3140,4,0,6
5016,Agdenes,33,100,3,1554,0,0,3
619,Ål,117,282,10,4259,0,0,3
1504,Ålesund,1543,3671,251,42416,15,3,99
1820,Alstahaug,334,307,34,6729,0,0,11
2012,Alta,716,874,68,18976,8,0,23
438,Alvdal,94,82,5,2231,3,0,3
929,Åmli,59,135,3,1648,0,0,3
429,Åmot,61,217,13,4109,0,0,7
1871,Andøy,216,205,25,4325,0,0,0
1424,Årdal,107,290,25,4820,0,0,3
118,Aremark,10,33,7,1294,10,0,3
906,Arendal,1355,2358,233,40618,50,0,171
214,Ås,928,1924,197,17150,3,0,133
1026,Åseral,23,57,3,852,0,0,4
220,Asker,2274,5140,634,53171,13,3,288
124,Askim,421,999,179,14255,0,0,11
1247,Askøy,517,1503,118,27072,3,0,62
1428,Askvoll,65,122,21,2820,10,0,0
425,Åsnes,133,274,19,6785,0,0,3
1027,Audnedal,70,100,3,1596,3,0,8
1547,Aukra,140,267,16,3102,5,0,9
1576,Aure,144,204,7,3195,0,0,3
1421,Aurland,39,200,8,1513,0,0,4
221,Aurskog-Høland,381,1506,42,14546,9,0,16
1244,Austevoll,102,470,18,4618,0,0,4
1264,Austrheim,108,254,12,2510,0,3,0
1554,Averøy,139,401,27,5271,3,0,8
219,Bærum,5006,10941,1442,108807,41,3,601
1418,Balestrand,76,148,5,1047,0,0,3
1854,Ballangen,117,70,0,2271,3,0,9
1933,Balsfjord,97,277,6,5235,6,0,4
814,Bamble,446,417,31,13177,4,0,14
1922,Bardu,160,73,8,3785,0,0,4
2028,Båtsfjord,105,499,9,1654,3,0,0
1839,Beiarn,45,14,2,961,0,0,0
1929,Berg,66,72,0,747,0,0,3
1201,Bergen,9505,19279,2158,248984,117,0,1147
2024,Berlevåg,30,135,2,811,3,0,0
1811,Bindal,35,21,2,1392,0,0,0
928,Birkenes,138,257,28,4758,11,0,20
1114,Bjerkreim,48,178,12,2562,0,0,7
5017,Bjugn,87,191,13,4600,0,0,13
1867,Bø (Nordland),155,85,12,2361,0,0,3
821,Bø (Telemark),245,434,12,5919,0,3,17
1804,Bodø,1658,1860,209,48188,24,0,85
1145,Bokn,6,57,3,774,0,0,0
1219,Bømlo,352,686,35,10880,4,0,3
1438,Bremanger,137,340,23,3196,0,0,9
1813,Brønnøy,260,241,12,7384,13,0,6
938,Bygland,38,37,5,1112,0,0,0
941,Bykle,53,92,9,796,0,0,3
2025,Deatnu - Tana,114,149,11,2617,3,0,6
1850,Divtasvuodna - Tysfjord,44,104,3,1771,0,0,3
1827,Dønna,52,43,12,1281,3,0,0
511,Dovre,68,111,5,2425,0,0,6
602,Drammen,3294,5184,689,59533,60,6,167
817,Drangedal,133,180,14,3746,0,0,7
1926,Dyrøy,42,16,5,1066,0,0,0
1443,Eid,216,311,15,5585,9,0,15
1551,Eide,57,156,7,3213,0,0,0
