"","kommunenummer","population","cases","expected","SMR"
"1",301,599230,1898,2673.87331784233,0.709831683997499
"2",1101,14346,59,64.0144629236954,0.921666718821454
"3",1103,133142,547,594.103835395696,0.920714473482025
"4",1106,34619,144,154.476278541434,0.932181959325075
"5",1108,67411,259,300.80015057502,0.861036803023159
"6",1111,3265,12,14.5690242190064,0.823665320313292
"7",1112,3186,8,14.2165118412724,0.562725940745532
"8",1114,2651,15,11.8292444730738,1.26804379046723
"9",1119,16822,62,75.0628255473585,0.825974769107021
"10",1120,17397,69,77.6285801954224,0.888847893730624
"11",1121,16450,65,73.4028938446111,0.885523670737023
"12",1122,10508,44,46.8886084206184,0.938394238645218
"13",1124,23350,66,104.191949621378,0.633446252228091
"14",1127,10061,44,44.8940130681235,0.980086140511277
"15",1130,11379,58,50.7751689396857,1.14229063558403
"16",1133,2814,14,12.556580138525,1.11495326319357
"17",1134,3850,20,17.1794006870366,1.1641849657242
"18",1135,4703,30,20.9856419301645,1.42954883628689
"19",1144,528,0,2.35603209422217,0
"20",1145,837,2,3.73484633118173,0.535497266193329
"21",1146,10191,60,45.4740967276858,1.31943247513634
"22",1149,40063,192,178.768397331104,1.07401533417783
"23",1151,216,0,0.963831311272704,0
"24",1160,8298,44,37.0271862080597,1.18831605925331
"25",1505,23570,148,105.173629660637,1.40719684656268
"26",1506,30045,166,134.066258088835,1.2381937287308
"27",1507,60058,294,267.989726353778,1.09705698050486
"28",1511,3417,18,15.2472758824946,1.18053874926378
"29",1514,2625,10,11.7132277411613,0.853735641531078
"30",1515,8533,44,38.0757989772685,1.15558967065322
"31",1516,7751,42,34.5863726559015,1.21435110926076
"32",1517,4932,25,22.0074816073934,1.13597732107618
"33",1520,10373,47,46.286213851073,1.01542113924512
"34",1525,4575,21,20.4144826345955,1.02868146971368
"35",1528,7662,44,34.1892384582012,1.28695466714748
"36",1531,8096,44,36.1258254447399,1.21796524946689
"37",1532,7149,25,31.9001390939285,0.783695642404211
"38",1535,6504,38,29.0220317061003,1.30935009598286
"39",1539,7400,37,33.0201467750834,1.12052802950954
"40",1547,3249,14,14.4976293070603,0.965675125462208
"41",1554,5520,27,24.6312446214136,1.0961687245202
"42",1557,2582,9,11.5213539153061,0.781158192531825
"43",1560,3065,18,13.6765878196798,1.31611775081055
"44",1563,7267,38,32.4266765695312,1.17187464211814
"45",1566,5949,34,26.5455206979691,1.28081872594804
"46",1573,2137,12,9.53568292680449,1.25843110473697
"47",1576,3523,26,15.7202671741377,1.65391591071519
"48",1577,9862,43,44.0060388507936,0.977138618310895
"49",1578,2783,14,12.4182524966293,1.12737279289497
"50",1579,12762,56,56.946366641029,0.983381439469272
"51",1804,47847,249,213.502021992894,1.16626530126393
"52",1806,21845,108,97.4763657164455,1.107960880632
"53",1811,1592,8,7.10379373863956,1.12615882362768
