kommunenummer,kommunenavn,Basic school level,"Higher education, long","Higher education, short",Tertiary vocational education,Upper secondary education,No education or unknown
5018,Åfjord,811,92,466,87,1341,543
5016,Agdenes,411,50,223,38,663,308
619,Ål,918,199,832,112,1797,813
1504,Ålesund,9250,3433,10666,1587,14430,8632
1820,Alstahaug,1772,390,1350,220,2412,1271
2012,Alta,4936,1079,4225,531,5751,4143
438,Alvdal,474,69,386,68,951,470
929,Åmli,441,62,265,54,655,371
429,Åmot,1263,150,693,141,1463,697
1871,Andøy,1304,156,700,151,1643,817
1424,Årdal,1022,206,774,134,2258,851
118,Aremark,344,33,186,29,532,233
906,Arendal,9516,2899,8535,1431,14118,8286
214,Ås,3303,2831,4598,357,5402,3844
1026,Åseral,224,19,121,21,371,183
220,Asker,8535,9499,15369,1293,14079,12748
124,Askim,4388,603,2360,368,5186,2960
1247,Askøy,5990,1505,5177,816,9058,6729
1428,Askvoll,727,114,482,104,1050,561
425,Åsnes,2213,168,1047,139,2605,1042
1027,Audnedal,364,53,276,29,652,406
1547,Aukra,794,120,612,101,1166,746
1576,Aure,880,111,527,126,1303,606
1421,Aurland,341,103,329,58,672,261
221,Aurskog-Høland,4754,525,2202,325,5751,2943
1244,Austevoll,982,192,779,300,1771,1188
1264,Austrheim,681,89,352,91,1134,540
1554,Averøy,1408,189,904,237,1986,1125
219,Bærum,16380,21907,31925,2651,27722,26256
1418,Balestrand,222,73,283,25,438,238
1854,Ballangen,784,59,324,59,828,416
1933,Balsfjord,1725,134,708,146,1963,949
814,Bamble,3451,538,2226,385,5013,2476
1922,Bardu,782,200,761,196,1340,751
2028,Båtsfjord,856,56,260,57,636,405
1839,Beiarn,385,16,106,22,348,145
1929,Berg,295,22,102,12,287,170
1201,Bergen,50001,34149,65286,6873,76015,48866
2024,Berlevåg,356,24,130,38,293,140
1811,Bindal,406,32,221,28,507,256
928,Birkenes,1106,173,791,127,1807,1208
1114,Bjerkreim,596,110,341,66,1027,667
5017,Bjugn,1245,153,691,132,1763,920
1867,Bø (Nordland),977,65,328,57,786,403
821,Bø (Telemark),1229,470,1492,145,2056,1238
1804,Bodø,10246,4416,11586,1235,15119,9422
1145,Bokn,190,13,108,39,358,132
1219,Bømlo,2472,344,1921,472,4188,2563
1438,Bremanger,858,99,517,133,1408,690
1813,Brønnøy,1890,312,1260,228,2739,1487
938,Bygland,232,45,216,28,446,225
941,Bykle,165,48,211,29,343,157
2025,Deatnu - Tana,897,133,483,66,900,421
1850,Divtasvuodna - Tysfjord,570,58,270,53,665,309
1827,Dønna,394,43,225,40,446,243
511,Dovre,576,88,345,52,1130,424
602,Drammen,15894,5408,14056,1695,19372,12508
817,Drangedal,1079,104,508,112,1567,710
1926,Dyrøy,305,25,179,36,402,182
1443,Eid,1121,289,1170,135,2219,1217
1551,Eide,830,98,464,111,1216,714
1232,Eidfjord,190,34,159,25,349,149
125,Eidsberg,3305,393,1624,204,3896,2002
420,Eidskog,2072,147,742,124,2164,865
237,Eidsvoll,6414,1291,3943,528,7973,4770
1101,Eigersund,3407,587,2250,415,5188,2983
427,Elverum,4994,1074,4312,441,6550,3820
229,Enebakk,2686,445,1647,266,3670,2312
434,Engerdal,366,39,185,18,487,191
1211,Etne,812,135,621,110,1577,822
541,Etnedal,388,38,187,19,445,228
1853,Evenes,360,43,204,38,518,224
937,Evje og Hornnes,845,140,555,68,1291,739
729,Færder,4741,2103,6009,741,8248,4858
1003,Farsund,2095,363,1429,315,3635,1858
1841,Fauske - Fuosko,2440,361,1592,277,3448,1642
1265,Fedje,139,20,87,15,197,104
227,Fet,2563,766,2069,281,3664,2499
1141,Finnøy,550,156,524,74,1182,664
1222,Fitjar,646,103,471,94,1202,685
1429,Fjaler,643,151,499,77,842,558
1246,Fjell,5608,1206,4441,751,8507,5653
615,Flå,324,47,142,28,353,158
1859,Flakstad,483,38,168,35,373,195
5049,Flatanger,264,53,194,23,418,151
1004,Flekkefjord,1862,379,1511,264,3296,1754
631,Flesberg,622,88,392,98,1002,492
1401,Flora,2667,474,2049,384,3924,2354
