Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019
1,ØSTFOLD,101,HALDEN
1,ØSTFOLD,104,MOSS
1,ØSTFOLD,105,SARPSBORG
1,ØSTFOLD,106,FREDRIKSTAD
1,ØSTFOLD,111,HVALER
1,ØSTFOLD,118,AREMARK
1,ØSTFOLD,119,MARKER
1,ØSTFOLD,121,RØMSKOG
1,ØSTFOLD,122,TRØGSTAD
1,ØSTFOLD,123,SPYDEBERG
1,ØSTFOLD,124,ASKIM
1,ØSTFOLD,125,EIDSBERG
1,ØSTFOLD,127,SKIPTVET
1,ØSTFOLD,128,RAKKESTAD
1,ØSTFOLD,135,RÅDE
1,ØSTFOLD,136,RYGGE
1,ØSTFOLD,137,VÅLER (ØSTF.)
1,ØSTFOLD,138,HOBØL
2,AKERSHUS,211,VESTBY
2,AKERSHUS,213,SKI
2,AKERSHUS,214,ÅS
2,AKERSHUS,215,FROGN
2,AKERSHUS,216,NESODDEN
2,AKERSHUS,217,OPPEGÅRD
2,AKERSHUS,219,BÆRUM
2,AKERSHUS,220,ASKER
2,AKERSHUS,221,AURSKOG-HØLAND
2,AKERSHUS,226,SØRUM
2,AKERSHUS,227,FET
2,AKERSHUS,228,RÆLINGEN
2,AKERSHUS,229,ENEBAKK
2,AKERSHUS,230,LØRENSKOG
2,AKERSHUS,231,SKEDSMO
2,AKERSHUS,233,NITTEDAL
2,AKERSHUS,234,GJERDRUM
2,AKERSHUS,235,ULLENSAKER
2,AKERSHUS,236,NES (AKERSHUS)
2,AKERSHUS,237,EIDSVOLL
2,AKERSHUS,238,NANNESTAD
2,AKERSHUS,239,HURDAL
3,OSLO,301,OSLO
4,HEDMARK,402,KONGSVINGER
4,HEDMARK,403,HAMAR
4,HEDMARK,412,RINGSAKER
4,HEDMARK,415,LØTEN
4,HEDMARK,417,STANGE
4,HEDMARK,418,NORD-ODAL
4,HEDMARK,419,SØR-ODAL
4,HEDMARK,420,EIDSKOG
4,HEDMARK,423,GRUE
4,HEDMARK,425,ÅSNES
4,HEDMARK,426,VÅLER (HEDM.)
4,HEDMARK,427,ELVERUM
4,HEDMARK,428,TRYSIL
4,HEDMARK,429,ÅMOT
4,HEDMARK,430,STOR-ELVDAL
4,HEDMARK,432,RENDALEN
4,HEDMARK,434,ENGERDAL
4,HEDMARK,436,TOLGA
4,HEDMARK,437,TYNSET
4,HEDMARK,438,ALVDAL
4,HEDMARK,439,FOLLDAL
4,HEDMARK,441,OS (HEDM.)
5,OPPLAND,501,LILLEHAMMER
5,OPPLAND,502,GJØVIK
5,OPPLAND,511,DOVRE
5,OPPLAND,512,LESJA
5,OPPLAND,513,SKJÅK
5,OPPLAND,514,LOM
5,OPPLAND,515,VÅGÅ
5,OPPLAND,516,NORD-FRON
5,OPPLAND,517,SEL
5,OPPLAND,519,SØR-FRON
5,OPPLAND,520,RINGEBU
5,OPPLAND,521,ØYER
5,OPPLAND,522,GAUSDAL
5,OPPLAND,528,ØSTRE TOTEN
5,OPPLAND,529,VESTRE TOTEN
5,OPPLAND,532,JEVNAKER
5,OPPLAND,533,LUNNER
5,OPPLAND,534,GRAN
5,OPPLAND,536,SØNDRE LAND
5,OPPLAND,538,NORDRE LAND
5,OPPLAND,540,SØR-AURDAL
5,OPPLAND,541,ETNEDAL
5,OPPLAND,542,NORD-AURDAL
5,OPPLAND,543,VESTRE SLIDRE
5,OPPLAND,544,ØYSTRE SLIDRE
5,OPPLAND,545,VANG
6,BUSKERUD,602,DRAMMEN
6,BUSKERUD,604,KONGSBERG
6,BUSKERUD,605,RINGERIKE
6,BUSKERUD,612,HOLE
6,BUSKERUD,615,FLÅ
6,BUSKERUD,616,NES (BUSK.)
6,BUSKERUD,617,GOL
6,BUSKERUD,618,HEMSEDAL
6,BUSKERUD,619,ÅL
6,BUSKERUD,620,HOL
6,BUSKERUD,621,SIGDAL
6,BUSKERUD,622,KRØDSHERAD
6,BUSKERUD,623,MODUM
6,BUSKERUD,624,ØVRE EIKER
6,BUSKERUD,625,NEDRE EIKER
6,BUSKERUD,626,LIER
6,BUSKERUD,627,RØYKEN
6,BUSKERUD,628,HURUM
6,BUSKERUD,631,FLESBERG
6,BUSKERUD,632,ROLLAG
6,BUSKERUD,633,NORE OG UVDAL
7,VESTFOLD,701,HORTEN
7,VESTFOLD,704,TØNSBERG
7,VESTFOLD,710,SANDEFJORD
7,VESTFOLD,711,SVELVIK
7,VESTFOLD,712,LARVIK
7,VESTFOLD,713,SANDE (VESTF.)
7,VESTFOLD,715,HOLMESTRAND
7,VESTFOLD,716,RE
7,VESTFOLD,729,FÆRDER
8,TELEMARK,805,PORSGRUNN
8,TELEMARK,806,SKIEN
8,TELEMARK,807,NOTODDEN
8,TELEMARK,811,SILJAN
8,TELEMARK,814,BAMBLE
8,TELEMARK,815,KRAGERØ
8,TELEMARK,817,DRANGEDAL
8,TELEMARK,819,NOME
8,TELEMARK,821,BØ (TELEM.)
8,TELEMARK,822,SAUHERAD
8,TELEMARK,826,TINN
8,TELEMARK,827,HJARTDAL
8,TELEMARK,828,SELJORD
8,TELEMARK,829,KVITESEID
8,TELEMARK,830,NISSEDAL
8,TELEMARK,831,FYRESDAL
8,TELEMARK,833,TOKKE
8,TELEMARK,834,VINJE
9,AUST-AGDER,901,RISØR
9,AUST-AGDER,904,GRIMSTAD
9,AUST-AGDER,906,ARENDAL
9,AUST-AGDER,911,GJERSTAD
9,AUST-AGDER,912,VEGÅRSHEI
9,AUST-AGDER,914,TVEDESTRAND
9,AUST-AGDER,919,FROLAND
9,AUST-AGDER,926,LILLESAND
9,AUST-AGDER,928,BIRKENES
9,AUST-AGDER,929,ÅMLI
9,AUST-AGDER,935,IVELAND
9,AUST-AGDER,937,EVJE OG HORNNES
9,AUST-AGDER,938,BYGLAND
9,AUST-AGDER,940,VALLE
9,AUST-AGDER,941,BYKLE
10,VEST-AGDER,1001,KRISTIANSAND
10,VEST-AGDER,1002,MANDAL
10,VEST-AGDER,1003,FARSUND
10,VEST-AGDER,1004,FLEKKEFJORD
10,VEST-AGDER,1014,VENNESLA
10,VEST-AGDER,1017,SONGDALEN
10,VEST-AGDER,1018,SØGNE
10,VEST-AGDER,1021,MARNARDAL
10,VEST-AGDER,1026,ÅSERAL
10,VEST-AGDER,1027,AUDNEDAL
10,VEST-AGDER,1029,LINDESNES
10,VEST-AGDER,1032,LYNGDAL
10,VEST-AGDER,1034,HÆGEBOSTAD
10,VEST-AGDER,1037,KVINESDAL
10,VEST-AGDER,1046,SIRDAL
11,ROGALAND,1101,EIGERSUND
11,ROGALAND,1102,SANDNES
11,ROGALAND,1103,STAVANGER
11,ROGALAND,1106,HAUGESUND
11,ROGALAND,1111,SOKNDAL
11,ROGALAND,1112,LUND
11,ROGALAND,1114,BJERKREIM
11,ROGALAND,1119,HÅ
11,ROGALAND,1120,KLEPP
11,ROGALAND,1121,TIME
11,ROGALAND,1122,GJESDAL
11,ROGALAND,1124,SOLA
11,ROGALAND,1127,RANDABERG
11,ROGALAND,1129,FORSAND
11,ROGALAND,1130,STRAND
11,ROGALAND,1133,HJELMELAND
11,ROGALAND,1134,SULDAL
11,ROGALAND,1135,SAUDA
11,ROGALAND,1141,FINNØY
11,ROGALAND,1142,RENNESØY
11,ROGALAND,1144,KVITSØY
11,ROGALAND,1145,BOKN
11,ROGALAND,1146,TYSVÆR
11,ROGALAND,1149,KARMØY
11,ROGALAND,1151,UTSIRA
11,ROGALAND,1160,VINDAFJORD
12,HORDALAND,1201,BERGEN
12,HORDALAND,1211,ETNE
12,HORDALAND,1216,SVEIO
12,HORDALAND,1219,BØMLO
12,HORDALAND,1221,STORD
