"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",274,282.012503564348,0.97158812654376,"Oslo",7.05,1,1,0.976624428598227,0.864439217249418,1.09487800708388
"2",1101,"Eigersund",11,6.64852173537436,1.65450312683389,"Eigersund",3.875,2,2,1.59000849541107,0.80569130143255,2.63990226785939
"3",1103,"Stavanger",80,60.0899117073951,1.33133828502788,"Stavanger",5.35,3,3,1.33788360835437,1.06154065533016,1.64294839862188
"4",1106,"Haugesund",28,16.4614542388127,1.70094328203287,"Haugesund",4.5,4,4,1.69056785363904,1.12657993574838,2.36048047677194
"5",1108,"Sandnes",41,32.3479896966339,1.26746670765344,"Sandnes",4.975,5,5,1.27519836710428,0.917498475673471,1.68648138084093
"6",1111,"Sokndal",0,1.55878697576087,0,"Sokndal",3.425,6,6,0.317471825515139,0.0253953916745433,1.18769381063046
"7",1112,"Lund",0,1.47200691149556,0,"Lund",3.05,7,7,0.278591893355861,0.0204729560659159,1.07982173479013
"8",1114,"Bjerkreim",0,1.17688161245256,0,"Bjerkreim",3.2,8,8,0.320687065047451,0.0226901717770468,1.26696389071059
"9",1119,"HÃ¥",0,8.01940426544499,0,"Hå",3.825,9,9,0.150796984175408,0.0207823503737319,0.449937067672624
"10",1120,"Klepp",7,8.13572236660766,0.8604030084324,"Klepp",4.25,10,10,0.880858730808473,0.381816574515903,1.59630193929004
"11",1121,"Time",0,7.9513981584565,0,"Time",4.075,11,11,0.161189783133363,0.023013361723619,0.474339329146454
"12",1122,"Gjesdal",0,4.68165009791608,0,"Gjesdal",3.825,12,12,0.208762564605673,0.0249163907134188,0.661150204816909
"13",1124,"Sola",13,11.338600804884,1.14652594475329,"Sola",5.05,13,13,1.17663090978921,0.644243210941795,1.86498236180415
"14",1127,"Randaberg",3,4.92624907129987,0.608982606559193,"Randaberg",4.825,14,14,0.725998478355855,0.217553110099495,1.58187272254464
"15",1130,"Strand",7,5.75549464657029,1.21622908713351,"Strand",3.45,15,15,1.14758022758366,0.481029137425745,2.11798276546057
"16",1133,"Hjelmeland",0,1.22156684584182,0,"Hjelmeland",2.5,16,16,0.231799612698124,0.0146796288942721,0.958057146083748
"17",1134,"Suldal",0,1.79525764472862,0,"Suldal",2.325,17,17,0.189565075315953,0.0129243386871855,0.756373890921182
"18",1135,"Sauda",3,2.35739463435461,1.27259134142439,"Sauda",2.575,18,18,0.976692614627388,0.228528217890795,2.38910790841017
"19",1144,"KvitsÃ¸y",0,0.286039135640538,0,"Kvitsøy",3.325,19,19,0.517432690664752,0.0271928896707996,2.36838110286416
"20",1145,"Bokn",0,0.430957964426823,0,"Bokn",3.375,20,20,0.486125078274224,0.0276345909891538,2.1316132331881
"21",1146,"TysvÃ¦r",0,4.87983581379071,0,"Tysvær",3.375,21,21,0.179604313476579,0.0200059951372055,0.583760792920903
"22",1149,"KarmÃ¸y",29,18.9223956822171,1.53257549873844,"Karmøy",4.1,22,22,1.51773671150628,1.01844882543023,2.10911925702403
"23",1151,"Utsira",0,0.10086770729111,0,"Utsira",3.025,23,23,0.497591679736849,0.0228680473831603,2.44991770710795
"24",1160,"Vindafjord",0,4.00916271133967,0,"Vindafjord",2.675,24,24,0.157610447398869,0.0145799150911311,0.551306500131726
"25",1505,"Kristiansund",21,11.1441697172091,1.8843934122406,"Kristiansund",3.25,25,25,1.81553779474241,1.12291302142933,2.66528322970218
"26",1506,"Molde",17,15.0128578852481,1.13236268070615,"Molde",2.975,26,26,1.09345180454786,0.639387074047811,1.66422634444878
"27",1507,"Ã…lesund",38,29.6614322127841,1.2811249209882,"Ålesund",3.35,27,27,1.2641336352409,0.894567330286684,1.69202334832557
