,kommunenummer,RR,LL,UL
1,301,1.148851621,0.985931123,1.32391471
2,1101,0.564528955,0.469238871,0.669884582
3,1103,1.150086345,1.027008312,1.281676594
4,1106,1.40800788,1.209074153,1.625661726
5,1108,1.389055232,1.151784197,1.653138927
6,1111,1.349148038,1.22E-12,5.546425647
7,1112,1.533038021,6.88E-12,7.800409754
8,1114,1.354610634,6.06E-12,6.889603366
9,1119,0.518334497,0.4163266,0.634103764
10,1120,1.117166141,0.966238772,1.281704817
11,1121,0.505376044,0.395812133,0.631907623
12,1122,0.503362484,0.399574476,0.622163551
13,1124,1.099533726,0.950031334,1.262713002
14,1127,0.510508142,0.408697629,0.626444473
15,1130,0.555695435,0.464477209,0.655661262
16,1133,1.591342543,7.13E-12,8.09548288
17,1134,1.671085537,7.50E-12,8.502556374
18,1135,0.637180838,0.480170334,0.819402892
19,1144,1.702102833,7.64E-12,8.660682134
20,1145,1.577358492,7.08E-12,8.025105266
21,1146,0.53539505,0.427517188,0.657934125
22,1149,1.388342971,0.729394583,2.250102427
23,1151,1.724412052,7.74E-12,8.774442031
24,1160,0.610111659,0.519266435,0.707898395
25,1505,1.537599604,1.295349339,1.817004706
26,1506,1.258652424,1.133501175,1.390021387
27,1507,1.251331862,1.133188707,1.374668854
28,1511,1.781637394,8.00E-12,9.065949492
29,1514,1.717105481,7.71E-12,8.737698669
30,1515,0.623571984,0.527483094,0.72782394
31,1515,0.60836676,0.509924766,0.716253338
32,1516,0.570006457,0.475454281,0.674102901
33,1517,0.604475741,0.503985273,0.715145733
34,1520,0.580559582,0.485057102,0.685320562
35,1525,0.600169417,0.501995143,0.707805383
36,1528,0.546758662,0.452684194,0.650894096
37,1531,0.540525164,0.444752301,0.64727194
38,1532,0.56600045,0.470604852,0.671336822
39,1535,0.598822769,0.499998779,0.707327077
40,1539,0.659905756,0.552609117,0.777429493
41,1547,1.415321188,6.35E-12,7.200225234
42,1554,0.622262123,0.519170495,0.735703658
43,1557,1.559360516,7.00E-12,7.934438559
44,1560,1.845988245,8.29E-12,9.393052731
45,1563,0.109224621,0.013108281,0.362305315
46,1566,0.636601023,0.535679565,0.746587766
47,1573,1.762375646,7.91E-12,8.967785951
48,1576,1.712877922,7.69E-12,8.715936244
49,1577,0.586573464,0.492330415,0.689708281
50,1578,1.663602105,7.47E-12,8.465457656
51,1579,0.578969726,0.484143176,0.682835405
52,1804,1.080835424,0.953024238,1.219407201
53,1806,1.317454788,0.990738584,1.69470539
54,1811,1.891532026,8.49E-12,9.62452979
55,1812,1.811860303,8.13E-12,9.219464385
56,1813,0.593297877,0.502903768,0.691290662
57,1815,1.974212005,8.85E-12,10.04421806
58,1816,1.872131241,8.40E-12,9.525776148
59,1820,0.60078948,0.506715789,0.703677966
60,1822,1.725372436,7.75E-12,8.779769066
61,1824,0.359272004,0.104912121,0.811623532
62,1825,1.552146646,6.97E-12,7.897937734
63,1826,1.838127695,8.25E-12,9.352689808
64,1827,1.854595152,8.33E-12,9.436699632
65,1828,2.083005149,9.31E-12,10.59281181
66,1832,0.588071259,0.494903687,0.689857878
67,1833,2.21717894,1.310659589,3.357253962
68,1834,1.693023385,7.60E-12,8.614407978
69,1835,1.705166086,7.66E-12,8.676667784
70,1836,1.620482362,7.28E-12,8.245839931
71,1837,0.590667608,0.488110794,0.705024416
72,1838,1.618112495,7.27E-12,8.234006373
73,1839,1.729691755,7.77E-12,8.801555476
74,1840,0.578916236,0.489509477,0.676277055
75,1841,0.591865812,0.499621128,0.692694438
76,1845,2.968998164,1.30E-11,15.06449919
77,1848,1.915123989,8.58E-12,9.743004518
78,1851,1.78180208,8.00E-12,9.066674517
79,1853,1.761432785,7.91E-12,8.962707187
80,1856,1.738037269,7.80E-12,8.843485634
81,1857,1.960071546,8.78E-12,9.970073173
82,1859,1.666085599,7.48E-12,8.477940804
83,1860,0.619305941,0.501138532,0.753539511
84,1865,0.583575257,0.480234876,0.699891254
85,1866,0.59397677,0.488972132,0.711909656
86,1867,2.227205893,9.93E-12,11.32361129
87,1868,0.685965606,0.53542772,0.862167189
88,1870,0.559061292,0.455367568,0.676832001
89,1871,0.642950265,0.532258667,0.766379305
90,1874,2.049467332,9.17E-12,10.42362979
91,1875,1.660116979,7.45E-12,8.446488781
92,3001,1.493880518,1.193025893,1.837192138
93,3002,1.264504701,1.121460564,1.417430079
94,3003,1.752020533,1.159612309,2.467019054
95,3004,1.449345494,1.013360917,1.970889448
96,3005,1.167622112,1.076862732,1.263146754
97,3006,1.240615428,1.113176042,1.374869896
98,3007,1.429326898,1.233236345,1.641751374
99,3011,0.580713566,0.484645196,0.686465056
100,3012,1.606292072,7.21E-12,8.173014169
101,3013,1.724439967,7.74E-12,8.774797464
102,3014,1.313774453,1.114632792,1.53184452
103,3015,1.604916902,7.19E-12,8.164366343
104,3016,0.614652438,0.504056053,0.738182595
105,3017,0.564728444,0.464333191,0.676311967
106,3018,0.577030785,0.464738382,0.703891673
107,3019,0.558905521,0.434163847,0.703941475
108,3020,1.146084697,0.927874301,1.393362669
109,3021,1.288491203,1.111324243,1.481450674
110,3022,0.562067533,0.446239897,0.69455912
111,3023,0.544966742,0.432949581,0.673271995
112,3024,1.124087843,1.013299787,1.240237718
113,3025,1.147396196,0.766446736,1.604686204
114,3026,0.589778755,0.499811091,0.687371713
115,3027,0.472656959,0.360755497,0.604888263
116,3028,0.556385587,0.440937961,0.688600017
117,3029,1.067730521,0.902832308,1.250693505
118,3030,1.170943969,0.982967541,1.387981578
119,3031,1.086988249,0.918004332,1.273489733
120,3032,0.543424155,0.419798849,0.687656722
121,3033,1.080433716,0.952426474,1.217672565
122,3034,1.187938597,1.049284459,1.336260703
123,3035,1.240470554,1.09091431,1.399966573
124,3036,0.533793794,0.414827584,0.672197436
125,3037,1.674806328,7.52E-12,8.522245335
126,3038,0.575085229,0.481258296,0.678065518
127,3039,1.73102585,7.78E-12,8.808620925
128,3040,1.762721331,7.92E-12,8.969936126
129,3041,0.645213325,0.535666809,0.766286487
130,3042,1.871776614,8.40E-12,9.524344339
131,3043,0.631992895,0.530934698,0.742302743
132,3044,0.670998228,0.560099432,0.792783671
133,3045,1.731032936,7.78E-12,8.80853533
134,3046,1.733416536,7.79E-12,8.820637772
135,3047,0.609336166,0.513303207,0.713979812
136,3048,0.589643917,0.500031883,0.686625284
137,3049,1.154998091,1.035197234,1.281479858
138,3050,1.466278677,6.58E-12,7.459701311
139,3051,1.667830037,7.49E-12,8.486553143
140,3052,1.827065172,8.20E-12,9.296709319
141,3053,0.624967271,0.53095762,0.726434528
142,3054,0.556362219,0.45841547,0.664865385
143,3401,0.653496483,0.544504094,0.773890566
144,3403,1.333226594,1.181675853,1.495348784
145,3405,1.222785947,1.064531731,1.394983144
146,3407,1.385901351,1.195321358,1.593169162
147,3411,1.384473326,1.184687697,1.601607928
148,3412,0.635208225,0.518522031,0.765876625
149,3413,1.371378322,1.194485196,1.561837349
150,3414,0.647687472,0.546657541,0.757548689
151,3415,0.624253345,0.515992725,0.744216981
152,3416,0.764198824,0.591945347,0.965893012
153,3417,1.15343278,0.762223502,1.689568942
154,3418,0.762248568,0.594306171,0.95791105
155,3419,1.819438212,8.17E-12,9.257640713
156,3420,1.422005814,1.119055112,1.772445312
157,3421,0.751500771,0.583783848,0.947695714
158,3422,0.723892167,0.574585302,0.89550659
159,3423,2.097590231,9.38E-12,10.667652
160,3424,2.03435445,9.12E-12,10.35001809
161,3425,2.049565539,9.18E-12,10.42647744
162,3426,1.761527915,7.91E-12,8.963187587
163,3427,0.641805122,0.532164558,0.763085829
164,3428,1.511355435,6.79E-12,7.6901384
165,3429,1.769001468,7.95E-12,9.00181068
166,3430,1.743483772,7.83E-12,8.872088121
167,3431,1.753214675,7.87E-12,8.921114233
