,kommunenummer,RR,LL,UL
1,301,0.971941534,0.83080407,1.124005919
2,1101,0.713271074,0.603901823,0.833958017
3,1103,1.172997391,1.050408389,1.308876034
4,1106,1.448708664,1.247790346,1.667749812
5,1108,1.402360199,1.16882461,1.662061434
6,1111,0.737422412,1.08E-12,3.173290943
7,1112,1.256967961,7.88E-12,6.535758307
8,1114,1.111347642,6.95E-12,5.776246273
9,1119,0.629603937,0.514910499,0.758589026
10,1120,1.14042156,0.989492304,1.305395103
11,1121,0.564108485,0.450223732,0.694453873
12,1122,0.581163379,0.47004295,0.70729766
13,1124,1.111973607,0.964365752,1.274415897
14,1127,0.610729319,0.497061402,0.741246006
15,1130,0.65408092,0.556094158,0.761560644
16,1133,1.169580719,7.32E-12,6.080294981
17,1134,1.339175206,8.39E-12,6.962955962
18,1135,0.780020017,0.61164846,0.973609875
19,1144,1.533245126,9.61E-12,7.97220171
20,1145,1.297560622,8.13E-12,6.746058599
21,1146,0.596499323,0.482960776,0.724068439
22,1149,1.749403076,1.027736061,2.65061329
23,1151,1.526964669,9.58E-12,7.939923983
24,1160,0.739690076,0.640564677,0.844864886
25,1505,1.561659701,1.337665112,1.815605561
26,1506,1.295659182,1.1622584,1.427483502
27,1507,1.285933155,1.157763791,1.410788093
28,1511,1.49942856,9.40E-12,7.796272461
29,1514,1.495519315,9.38E-12,7.776820446
30,1515,0.761755282,0.654110883,0.877812043
31,1515,0.792175852,0.674791629,0.919403582
32,1516,0.719112413,0.60994589,0.838373796
33,1517,0.784527938,0.665774013,0.914630498
34,1520,0.733509666,0.621196303,0.852024334
35,1525,0.762934647,0.647964155,0.884553073
36,1528,0.674537658,0.565752849,0.79069063
37,1531,0.669891175,0.56007469,0.790803324
38,1532,0.721929503,0.610204988,0.845534497
39,1535,0.765579748,0.648403281,0.889389904
40,1539,0.808129138,0.686811235,0.937306628
41,1547,1.158180264,7.25E-12,6.020390138
42,1554,0.819164971,0.694990113,0.954190234
43,1557,1.27048189,7.96E-12,6.605311702
44,1560,1.495063833,9.37E-12,7.773331373
45,1563,0.237602001,0.051387037,0.62161006
46,1566,0.82000369,0.70020936,0.945912542
47,1573,1.527568583,9.58E-12,7.943243417
48,1576,1.512866785,9.49E-12,7.86590134
49,1577,0.704723256,0.599999783,0.815340943
50,1578,1.394941876,8.75E-12,7.253075076
51,1579,0.734256132,0.620942538,0.852832536
