"","kommunenummer","navn","Y","expected","SMR","snuff","smoke","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",274,282.012503564348,0.97158812654376,0.201519371695462,0.172678032099443,1,1,0.97123699002592,0.859394297417307,1.08914607092513
"2",1101,"Eigersund",11,6.64852173537436,1.65450312683389,0.130546190155091,0.165407956844234,2,2,1.58057776581016,0.794591375839185,2.63410591108412
"3",1103,"Stavanger",80,60.0899117073951,1.33133828502788,0.1132,0.162512034826217,3,3,1.32586602380962,1.05076302582162,1.62970125899426
"4",1106,"Haugesund",28,16.4614542388127,1.70094328203287,0.169663253513934,0.150769975006046,4,4,1.67005912996914,1.10879684514288,2.33723050107299
"5",1108,"Sandnes",41,32.3479896966339,1.26746670765344,0.2382,0.288356221860097,5,5,1.26621689539413,0.909493656772161,1.67651543553886
"6",1111,"Sokndal",0,1.55878697576087,0,0.131738340399757,0.164142943670502,6,6,0.28686022954874,0.0147497520838912,1.18568179038246
"7",1112,"Lund",0,1.47200691149556,0,0.129785247432306,0.163087457205104,7,7,0.292255980733345,0.0148124398926817,1.21542573788351
"8",1114,"Bjerkreim",0,1.17688161245256,0,0.13216957605985,0.167438546490915,8,8,0.319188122497504,0.0151328446726085,1.36662600498794
"9",1119,"Hå",0,8.01940426544499,0,0.132847801818085,0.167348891605975,9,9,0.116593564215011,0.0107829927807145,0.390829458767268
"10",1120,"Klepp",7,8.13572236660766,0.8604030084324,0.137674418604651,0.170180878552971,10,10,0.846173811643707,0.356930590520728,1.55360670581306
"11",1121,"Time",0,7.9513981584565,0,0.140256560387502,0.170117634534518,11,11,0.117761050358871,0.0109260164072643,0.394182886673263
"12",1122,"Gjesdal",0,4.68165009791608,0,0.140477792732166,0.172274562584118,12,12,0.16240468277924,0.0127231672971969,0.578261469699367
"13",1124,"Sola",13,11.338600804884,1.14652594475329,0.168692380056444,0.136481655691439,13,13,1.11852997961421,0.601120830833749,1.79193520574374
"14",1127,"Randaberg",3,4.92624907129987,0.608982606559193,0.133447932687958,0.165023070659549,14,14,0.629495494638036,0.166327587262694,1.44599699242956
"15",1130,"Strand",7,5.75549464657029,1.21622908713351,0.135515857401432,0.165892814983867,15,15,1.16643449997174,0.485802482119315,2.15584888222678
"16",1133,"Hjelmeland",0,1.22156684584182,0,0.117295480014942,0.154650728427344,16,16,0.308637826173611,0.0145132220664514,1.31976998858801
"17",1134,"Suldal",0,1.79525764472862,0,0.124143384290985,0.156826568265682,17,17,0.256506923821996,0.0140731465138967,1.04101760313203
"18",1135,"Sauda",3,2.35739463435461,1.27259134142439,0.130737437459212,0.156623885142484,18,18,1.13043290236374,0.273730163091963,2.70364101297589
"19",1144,"Kvitsøy",0,0.286039135640538,0,0.164705882352941,0.115686274509803,19,19,0.419745952496785,0.0110745433058961,2.23198247822202
"20",1145,"Bokn",0,0.430957964426823,0,0.187574671445639,0.0955794504181601,20,20,0.356085242169492,0.0100223178848195,1.83645670742949
"21",1146,"Tysvær",0,4.87983581379071,0,0.137777777777777,0.167256235827664,21,21,0.161501416400981,0.0125072469234622,0.57559447617253
"22",1149,"Karmøy",29,18.9223956822171,1.53257549873844,0.169082240197357,0.145432549754489,22,22,1.50879530185276,1.00993409070545,2.09985007670861
"23",1151,"Utsira",0,0.10086770729111,0,0.142857142857142,0.21938775510204,23,23,0.748508294323389,0.0180147922293365,4.15723518590642
"24",1160,"Vindafjord",0,4.00916271133967,0,0.129907290832093,0.164129563923543,24,24,0.173132265472688,0.0126240693343195,0.632873290659307
"25",1505,"Kristiansund",21,11.1441697172091,1.8843934122406,0.167959722680752,0.158715747771541,25,25,1.83759423715976,1.1369439354138,2.69607812561672
"26",1506,"Molde",17,15.0128578852481,1.13236268070615,0.2019,0.161682968582682,26,26,1.10312578192366,0.643458288601294,1.68067907534254
"27",1507,"Ålesund",38,29.6614322127841,1.2811249209882,0.195250697784707,0.15000742584728,27,27,1.26484637173432,0.894180034349547,1.69405939828481
"28",1511,"Vanylven",0,1.69727292438832,0,0.208293763849319,0.167458056346945,28,28,0.240119122356057,0.0111134693391539,1.02729031765287
"29",1514,"Sande",0,1.24212289972829,0,0.190591073582629,0.159227985524728,29,29,0.315314285519803,0.0143092240765712,1.36346607574468
"30",1515,"Herøy",0,4.25151724355399,0,0.224540152534768,0.158479138627187,30,30,0.164327081617455,0.0117512867769658,0.605445341263713
"31",1516,"Ulstein",0,3.77862908031266,0,0.233740546829552,0.161721931355439,31,31,0.178508253062495,0.0123635873686657,0.664785068096462
"32",1517,"Hareid",0,2.3436387443945,0,0.232056020229527,0.159113013032483,32,32,0.232103685895433,0.0134250920894076,0.920572263699964
"33",1520,"Ørsta",2,5.12955576355594,0.389897311227113,0.243843954625103,0.160287743244489,33,33,0.409046169073024,0.0812645878960387,1.05740490740026
"34",1525,"Stranda",0,2.35709217257752,0,0.203114718139942,0.147400745777582,34,34,0.197949453071934,0.0109651594741246,0.809838169931849
"35",1528,"Sykkylven",0,3.54939058927642,0,0.23004449097095,0.159774928029311,35,35,0.167054294640812,0.0108402040343803,0.641290583733614
