kommunenummer,komunenavn,lungekreft,smoke,snuff
301,Oslo,56,0.17,0.20
3001,Halden,66,0.18,0.15
3002,Moss,70,0.16,0.14
3003,Sarpsborg,73,0.18,0.15
3004,Fredrikstad,65,0.18,0.14
3005,Drammen,59,0.16,0.15
3006,Kongsberg,53,0.18,0.15
3007,Ringerike,56,0.18,0.14
3011,Hvaler,75,0.15,0.14
3012,Aremark,0,0.12,0.10
3013,Marker,47,0.14,0.14
3014,Indre Østfold,67,0.14,0.15
3015,Skiptvet,54,0.14,0.15
3016,Rakkestad,77,0.14,0.15
3017,Råde,60,0.14,0.14
3018,Våler (Viken),79,0.14,0.15
3019,Vestby,53,0.18,0.22
3020,Nordre Follo,52,0.20,0.24
3021,Ås,54,0.18,0.26
3022,Frogn,57,0.18,0.21
3023,Nesodden,46,0.18,0.22
3024,Bærum,41,0.17,0.19
3025,Asker,45,0.17,0.17
3026,Aurskog-Høland,71,0.23,0.24
3027,Rælingen,61,0.19,0.23
3028,Enebakk,67,0.19,0.23
3029,Lørenskog,66,0.17,0.24
3030,Lillestrøm,58,0.19,0.23
3031,Nittedal,61,0.19,0.25
3032,Gjerdrum,46,0.19,0.22
3033,Ullensaker,63,0.16,0.26
3034,Nes,63,0.19,0.25
3035,Eidsvoll,65,0.18,0.25
3036,Nannestad,82,0.20,0.24
3037,Hurdal,65,0.17,0.21
3038,Hole,59,0.14,0.15
3039,Flå,0,0.11,0.07
3040,Nesbyen,57,0.14,0.15
3041,Gol,41,0.14,0.14
3042,Hemsedal,0,0.11,0.14
3043,Ål,50,0.14,0.14
3044,Hol,30,0.13,0.15
3045,Sigdal,62,0.15,0.15
3046,Krødsherad,83,0.14,0.15
3047,Modum,60,0.15,0.15
3048,Øvre Eiker,58,0.14,0.15
3049,Lier,54,0.17,0.15
3050,Flesberg,35,0.14,0.15
3051,Rollag,0,0.11,0.09
3052,Nore og Uvdal,36,0.14,0.15
3053,Jevnaker,48,0.13,0.14
3054,Lunner,61,0.13,0.14
3401,Kongsvinger,64,0.14,0.14
3403,Hamar,58,0.22,0.23
3405,Lillehammer,49,0.22,0.24
3407,Gjøvik,51,0.22,0.24
3411,Ringsaker,55,0.22,0.23
3412,Løten,76,0.13,0.15
3413,Stange,68,0.22,0.24
3414,Nord-Odal,51,0.14,0.14
3415,Sør-Odal,56,0.14,0.14
3416,Eidskog,59,0.14,0.13
3417,Grue,53,0.14,0.13
3418,Åsnes,62,0.14,0.14
3419,Våler (Innlandet),74,0.14,0.13
3420,Elverum,56,0.23,0.24
3421,Trysil,55,0.13,0.14
3422,Åmot,56,0.13,0.16
3423,Stor-Elvdal,62,0.13,0.13
3424,Rendalen,52,0.24,0.14
3425,Engerdal,53,0.23,0.14
3426,Tolga,36,0.20,0.14
3427,Tynset,49,0.12,0.14
3428,Alvdal,52,0.12,0.15
3429,Folldal,29,0.22,0.14
3430,Os,0,0.20,0.13
3431,Dovre,58,0.13,0.14
3432,Lesja,0,0.13,0.14
3433,Skjåk,31,0.13,0.14
3434,Lom,45,0.14,0.13
3435,Vågå,50,0.13,0.14
3436,Nord-Fron,55,0.14,0.14
3437,Sel,61,0.13,0.14
3438,Sør-Fron,66,0.12,0.14
3439,Ringebu,68,0.12,0.13
3440,Øyer,76,0.12,0.14
3441,Gausdal,43,0.14,0.14
3442,Østre Toten,48,0.13,0.14
3443,Vestre Toten,64,0.13,0.14
3446,Gran,60,0.13,0.14
3447,Søndre Land,57,0.14,0.14
3448,Nordre Land,60,0.13,0.14
3449,Sør-Aurdal,73,0.13,0.13
3450,Etnedal,0,0.23,0.15
3451,Nord-Aurdal,53,0.13,0.14
3452,Vestre Slidre,46,0.14,0.14
3453,Øystre Slidre,39,0.12,0.14
3454,Vang,49,0.21,0.14
3801,Horten,64,0.18,0.14
3802,Holmestrand,65,0.14,0.15
3803,Tønsberg,60,0.16,0.15
3804,Sandefjord,72,0.18,0.14
3805,Larvik,56,0.18,0.14
3806,Porsgrunn,64,0.18,0.14
3807,Skien,50,0.18,0.14
3808,Notodden,60,0.14,0.15
3811,Færder,59,0.18,0.14
3812,Siljan,50,0.14,0.15
3813,Bamble,60,0.15,0.15
3814,Kragerø,60,0.15,0.15
3815,Drangedal,72,0.14,0.15
3816,Nome,64,0.15,0.15
3817,Midt-Telemark,53,0.14,0.15
3818,Tinn,83,0.15,0.15
3819,Hjartdal,23,0.10,0.08
3820,Seljord,31,0.14,0.15
3821,Kviteseid,67,0.14,0.15
3822,Nissedal,86,0.13,0.08
3823,Fyresdal,106,0.11,0.07
3824,Tokke,81,0.14,0.15
3825,Vinje,47,0.14,0.15
4201,Risør,66,0.16,0.12
4202,Grimstad,64,0.14,0.17
4203,Arendal,69,0.15,0.16
4204,Kristiansand,71,0.16,0.15
4205,Lindesnes,72,0.17,0.13
4206,Farsund,70,0.16,0.13
4207,Flekkefjord,66,0.16,0.12
4211,Gjerstad,65,0.16,0.12
