,kommunenummer,RR,LL,UL
1,301,0.093458175,0.082400382,0.105134382
2,1101,3.857809735,3.437854173,4.299185326
3,1103,0.475144489,0.422358344,0.530673908
4,1106,1.486131725,1.316470657,1.664892716
5,1108,1.08204623,0.967362129,1.202440093
6,1111,4.39,2.25E-22,16.4
7,1112,0.000331414,2.47E-09,0.00199903
8,1114,0.000829828,6.31E-09,0.005247407
9,1119,5.385244175,4.87541647,5.917877744
10,1120,5.356597145,4.845221674,5.891073509
11,1121,0.423199371,0.291542309,0.577159844
12,1122,0.017198882,0.000130012,0.093494345
13,1124,2.673558381,2.375010457,2.987713187
14,1127,0.012996463,0.000115094,0.068970168
15,1130,0.507464287,0.345054635,0.698395486
16,1133,0.000322945,1.71E-09,0.001801372
17,1134,0.000311705,2.96E-09,0.002021117
18,1135,0.01583709,0.000124048,0.08528687
19,1144,0.001012677,2.47E-09,0.004018096
20,1145,0.000816302,3.16E-09,0.003989085
21,1146,6.376492106,5.682322242,7.106069596
22,1149,0.849035269,0.728942069,0.977280995
23,1151,0.000499599,8.32E-10,0.001476779
24,1160,0.5113556,0.33144372,0.727129589
25,1505,1.916388668,1.687006361,2.15877331
26,1506,1.274186832,1.116803083,1.440826951
27,1507,0.846833334,0.751483233,0.94721652
28,1511,0.000156066,8.58E-10,0.000864514
29,1514,0.000259158,1.59E-09,0.001473412
30,1515,0.012179282,9.35E-05,0.066039575
31,1515,0.012478285,9.89E-05,0.067322848
32,1516,0.015222525,9.78E-05,0.084744845
33,1517,0.020443214,0.000102071,0.117895138
34,1520,2.121749799,1.781612717,2.488333167
35,1525,0.017214226,8.79E-05,0.098962112
36,1528,0.014977654,0.000101057,0.082797389
37,1531,0.488756701,0.307123982,0.709386349
38,1532,4.635463178,3.997994683,5.315016161
39,1535,0.015875462,8.94E-05,0.090040045
40,1539,0.012240119,8.65E-05,0.067147698
41,1547,0.000347117,3.49E-09,0.002279755
42,1554,10.98300482,9.843461275,12.17819193
43,1557,0.000337508,2.07E-09,0.001910768
44,1560,0.000171509,8.95E-10,0.000939318
45,1563,0.009969311,2.28E-05,0.062002673
46,1566,0.016368109,0.000103146,0.091331277
47,1573,0.000203648,7.28E-10,0.000947038
48,1576,0.000144513,8.34E-10,0.000822484
49,1577,2.504805506,2.126015782,2.911084458
50,1578,0.000235866,1.52E-09,0.001354505
51,1579,2.76485129,2.385620331,3.169054651
52,1804,1.194508914,1.060904198,1.335111502
53,1806,1.858908088,1.638082955,2.092140174
54,1811,0.000220556,6.31E-10,0.000928495
55,1812,0.000286619,1.15E-09,0.001402406
56,1813,0.013212441,7.47E-05,0.074898653
57,1815,0.000168865,2.98E-10,0.000585855
58,1816,0.000347908,5.90E-10,0.001074821
59,1820,0.014641405,9.14E-05,0.08185197
60,1822,0.000189739,5.57E-10,0.000814015
61,1824,2.942698045,2.583343939,3.322904978
62,1825,0.000386663,1.66E-09,0.001900083
63,1826,0.00016453,2.91E-10,0.000573908
64,1827,0.000224079,5.42E-10,0.000863418
65,1828,0.000137524,1.64E-10,0.000437122
66,1832,0.018208986,0.000102559,0.10330629
67,1833,1.569379991,1.37828292,1.77152849
68,1834,0.000192345,5.34E-10,0.000822223
69,1835,0.00057174,1.07E-09,0.001802851
70,1836,0.000229054,4.12E-10,0.000793142
71,1837,0.014384958,7.85E-05,0.081924862
72,1838,0.000215742,7.76E-10,0.001008105
73,1839,0.000179573,2.79E-10,0.000596701
74,1840,0.018517593,9.00E-05,0.107224512
75,1841,3.618740714,3.152079761,4.114266275
76,1845,0.013629972,6.61E-08,0.072322388
77,1848,0.000124869,2.71E-10,0.000503331
78,1851,0.000173928,7.26E-10,0.0008678
79,1853,0.000244317,7.56E-10,0.001059915
80,1856,0.000313572,5.50E-10,0.00100076
81,1857,0.000202021,2.49E-10,0.000594356
82,1859,0.000271521,8.46E-10,0.001166146
83,1860,0.449242616,0.301046709,0.624469797
84,1865,5.085424765,4.482047505,5.722660471
85,1866,0.011709344,6.75E-05,0.066159881
86,1867,0.000109664,2.11E-10,0.000468432
87,1868,0.018459182,5.31E-05,0.113932061
88,1870,0.010556764,5.74E-05,0.060072868
89,1871,0.014939975,6.59E-05,0.087558855
90,1874,0.000187166,2.62E-10,0.000604903
91,1875,0.000145248,3.31E-10,0.000610287
92,3001,1.494241354,1.318393649,1.67986092
93,3002,0.777813478,0.678245041,0.883487311
94,3003,0.836161403,0.738297763,0.939428657
95,3004,0.552210382,0.485617071,0.622611876
96,3005,0.445980755,0.390676577,0.504552591
97,3006,2.223391285,1.988052349,2.470432494
98,3007,1.23309739,1.074885086,1.401037443
99,3011,0.024955888,0.00014641,0.140774649
100,3012,0.000584268,2.70E-09,0.003030312
101,3013,0.000221596,2.11E-09,0.001431162
102,3014,0.909873757,0.793141056,1.033783996
103,3015,0.000317621,2.03E-09,0.001890739
104,3016,4.584213519,3.987671276,5.218025246
105,3017,0.014307611,9.75E-05,0.078966367
106,3018,0.027930939,0.000137716,0.161330605
107,3019,0.008763895,8.47E-05,0.045819129
108,3020,0.527500409,0.448793988,0.611843387
109,3021,0.009766914,0.000173472,0.046040776
110,3022,2.251963643,1.953498101,2.569421487
111,3023,3.092080502,2.737688053,3.465568972
112,3024,0.42644352,0.378912685,0.47645383
113,3025,0.560624224,0.494417575,0.630525176
114,3026,0.372127508,0.259333336,0.503406495
115,3027,0.009443209,8.55E-05,0.049846568
116,3028,0.949916284,0.684434098,1.254594686
