,kommunenummer,navn,Y,expected,SMR,kommunenavn.x,radon.level,kommunenavn.y,arsen.air,arsen.water,kommunenavn.x.1,chromium.air,chromium.water,komunenavn,cadmium.air,cadmium.water,kommunenavn.y.1,nickel.air,nickel.water,crowded,poverty,kommunenavn,population,new_cases,pop_size,re_u,re_v,RR,LL,UL
1,301,Oslo,441,4102.913437,0.107484598,Oslo,1.828863991,Oslo,0.166358,0.397772727,Oslo,2.200245455,1.805409091,Oslo,0.275918545,0.108890909,Oslo,2.289327273,0.433109091,20.58333333,12.29090909,Oslo,346184,441,urban,1,1,0.107624125,0.097794159,0.117875675
2,1101,Eigersund,304,119.1689658,2.550999733,Eigersund,0.976905888,Eigersund,0.142875,0.1592125,Eigersund,0.145375,0.2385125,Eigersund,0.126625,0.0244625,Eigersund,0.126625,0.379125,5.733333333,8.363636364,Eigersund,7524,304,semi-urban,2,2,2.552418035,2.272806341,2.846374688
3,1103,Stavanger,499,946.4868336,0.527212828,Stavanger,1.012590855,Stavanger,0,0,Stavanger,0,0,Stavanger,0,0,Stavanger,0,0,10.13333333,8.7,Stavanger,72035,499,urban,3,3,0.527801515,0.482411463,0.575006893
4,1106,Haugesund,451,289.1890028,1.559533716,Haugesund,1.417032603,Haugesund,0,0,Haugesund,0,0,Haugesund,0,0,Haugesund,0,0,6.866666667,11.19090909,Haugesund,19126,451,urban,4,4,1.56115851,1.420099261,1.708191009
5,1108,Sandnes,447,492.9021614,0.906873686,Sandnes,1.523844539,Sandnes,0.288818182,0,Sandnes,0,0.806745455,Sandnes,1.083222222,0.027,Sandnes,0.992181818,0,1.383333333,7.5,Sandnes,40505,447,urban,5,5,0.908020177,0.825626349,0.99392056
6,1111,Sokndal,0,29.81360156,0,Sokndal,1.040609092,Sokndal,0,4.211181818,Sokndal,0,35.18609091,Sokndal,0,0.713363636,Sokndal,0,3429.448,6.916666667,9.690909091,Sokndal,1653,0,rural,6,6,280.2525893,1.75E-15,403.5118806
7,1112,Lund,0,29.05336735,0,Lund,1.192150373,Lund,0,0,Lund,0,0,Lund,0,0,Lund,0,0,6.633333333,9.327272727,Lund,1610,0,rural,7,7,0.000134541,2.58E-10,0.000697106
8,1114,Bjerkreim,0,20.50858065,0,Bjerkreim,1.018571425,Bjerkreim,0,0,Bjerkreim,0,0,Bjerkreim,0,0,Bjerkreim,0,0,4.866666667,6.090909091,Bjerkreim,1438,0,rural,8,8,0.000244928,3.34E-10,0.001218213
9,1119,HÃ¥,515,139.3275936,3.696324516,Hå,1.058480925,Hå,0.1670467,0,Hå,0.528488,0,Hå,0.0035415,0,Hå,0.172124,0,6.016666667,6.545454545,Hå,9760,515,semi-urban,9,9,3.69743079,3.384222432,4.022951467
10,1120,Klepp,496,135.4097263,3.662956965,Klepp,1.05071036,Klepp,0,0,Klepp,0,0,Klepp,0,0,Klepp,0,0,6.466666667,6.363636364,Klepp,10064,496,urban,10,10,3.666218771,3.349960553,3.99516837
11,1121,Time,529,131.818882,4.013082133,Time,1.423224737,Time,0,0,Time,0,0,Time,0,0,Time,0,0,6.966666667,5.909090909,Time,9655,529,semi-urban,11,11,4.014058991,3.678455871,4.362656852
12,1122,Gjesdal,0,64.32796364,0,Gjesdal,1.222266569,Gjesdal,0,0,Gjesdal,0,0,Gjesdal,0,0,Gjesdal,0,0,7.35,6.290909091,Gjesdal,6091,0,semi-urban,12,12,0.009700966,4.44E-05,0.056196315
13,1124,Sola,398,186.9439161,2.128980757,Sola,1.042659728,Sola,0,0.2125,Sola,0,0.376290909,Sola,0,0.022145455,Sola,0,2.544527273,7.366666667,6.381818182,Sola,13962,398,urban,13,13,2.131504182,1.926848074,2.345468088
14,1127,Randaberg,0,89.5424882,0,Randaberg,1.08181141,Randaberg,0,0.056427273,Randaberg,0,0.316857143,Randaberg,0,0.007681818,Randaberg,0,0.2824,7.016666667,6.663636364,Randaberg,5667,0,semi-urban,14,14,0.007243153,4.13E-05,0.040723702
15,1130,Strand,46,108.6545306,0.423360165,Strand,1.324436541,Strand,0,0,Strand,0,0,Strand,0,0,Strand,0,0,6.783333333,8.154545455,Strand,6598,46,semi-urban,15,15,0.425900895,0.311734073,0.556098815
16,1133,Hjelmeland,0,25.08049522,0,Hjelmeland,1.857425138,Hjelmeland,0,0,Hjelmeland,0,0,Hjelmeland,0,0,Hjelmeland,0,0,6.75,9.318181818,Hjelmeland,1321,0,rural,16,16,0.000131498,1.58E-10,0.000592361
17,1134,Suldal,0,37.2323682,0,Suldal,1.544219126,Suldal,0,0,Suldal,0,0,Suldal,0,0,Suldal,0,0,4.2,9.690909091,Suldal,1909,0,rural,17,17,0.000122508,3.19E-10,0.00071089
18,1135,Sauda,0,53.31166272,0,Sauda,1.751851264,Sauda,1.426181818,14.73545455,Sauda,9.926636364,20.03909091,Sauda,0.925454545,0.645454545,Sauda,9.795090909,60.14545455,5.5,9.027272727,Sauda,2292,0,semi-urban,18,18,0.010679844,5.50E-05,0.060856575
19,1144,KvitsÃ¸y,0,8.109392315,0,Kvitsøy,1.006791153,Kvitsøy,0,0,Kvitsøy,0,0,Kvitsøy,0,0,Kvitsøy,0,0,2.1,9.9,Kvitsøy,269,0,rural,19,19,0.000406609,2.94E-10,0.001430689
20,1145,Bokn,0,9.38909723,0,Bokn,1.329071503,Bokn,0,0,Bokn,0,0,Bokn,0,0,Bokn,0,0,3.3,8.3,Bokn,441,0,rural,20,20,0.000337146,2.54E-10,0.0012073
21,1146,TysvÃ¦r,341,95.20152406,3.581875431,Tysvær,1.528792458,Tysvær,0,0.504555556,Tysvær,0,1.539,Tysvær,0,1.3405,Tysvær,0,4.9002,5.616666667,6.5,Tysvær,5639,341,semi-urban,21,21,3.583286402,3.212090306,3.972581616
22,1149,KarmÃ¸y,456,358.082873,1.273448228,Karmøy,1.185123893,Karmøy,24.35272727,1431.594764,Karmøy,2.708181818,313.1922182,Karmøy,2.901818182,18.47898182,Karmøy,540.2827273,113.8405818,4.783333333,8.645454545,Karmøy,21397,456,urban,22,22,1.274921787,1.16033893,1.394326624
23,1151,Utsira,0,2.234296955,0,Utsira,0.971710877,Utsira,0,0,Utsira,0,0,Utsira,0,0,Utsira,0,0,7.283333333,12.55,Utsira,109,0,rural,23,23,0.000383399,1.58E-10,0.00085505
24,1160,Vindafjord,48,76.06341245,0.631052413,Vindafjord,1.336674573,Vindafjord,0,0.17875,Vindafjord,0,1.069890909,Vindafjord,0,0.014381818,Vindafjord,0,0,6.483333333,10.12727273,Vindafjord,4507,48,semi-urban,24,24,0.634192907,0.467410908,0.823866788
25,1505,Kristiansund,436,218.7084647,1.993521378,Kristiansund,1.021861713,Kristiansund,6.175218182,0.615209091,Kristiansund,0.752027273,0.088281818,Kristiansund,0.629218182,0.016709091,Kristiansund,0.750636364,2.182890909,8.633333333,10.63636364,Kristiansund,12281,436,urban,25,25,1.995698487,1.812378367,2.186933535
26,1506,Molde,321,300.3315498,1.068818778,Molde,1.160593475,Molde,0.00675,0.0031,Molde,0.01855,4.9338,Molde,0.034833333,0.182966667,Molde,0.098566667,2.286433333,8,9.6,Molde,16053,321,urban,26,26,1.070495063,0.956336246,1.190368621
27,1507,Ã…lesund,425,547.8664063,0.775736558,Ålesund,1.214408374,Ålesund,0.037181,0.07728,Ålesund,0.987836364,0.174,Ålesund,0.044065455,0.070381818,Ålesund,0.886509091,0.097645455,8.6,9.8,Ålesund,34021,425,urban,27,27,0.776701999,0.704470915,0.852097574
28,1511,Vanylven,0,42.91610807,0,Vanylven,1.282802651,Vanylven,0,0,Vanylven,0,0,Vanylven,0,0,Vanylven,0,0,7.566666667,13.00909091,Vanylven,1607,0,rural,28,28,8.66E-05,2.05E-10,0.000477893
29,1514,Sande,0,26.7605172,0,Sande,1.106081865,Sande,0,0,Sande,0,0,Sande,0,0,Sande,0,0,5.616666667,11.50909091,Sande,1286,0,rural,29,29,0.000137489,2.57E-10,0.000699299
30,1515,HerÃ¸y,0,89.85681768,0,Herøy,1.410855773,Herøy,0,0,Herøy,0,0,Herøy,0,0,Herøy,0,0,4.216666667,9.490909091,Herøy (Møre og Romsdal),4569,0,semi-urban,30,30,0.007070056,4.12E-05,0.039633706
31,1515,HerÃ¸y,0,89.85681768,0,Herøy,1.014904557,Herøy,0,0,Herøy,0,0,Herøy,0,0,Herøy,0,0,4.216666667,9.490909091,Herøy (Møre og Romsdal),4569,0,semi-urban,31,31,0.007271759,4.47E-05,0.040449542
32,1516,Ulstein,0,69.83645296,0,Ulstein,0.995311827,Ulstein,0,0,Ulstein,0,0,Ulstein,0,0,Ulstein,0,0,6.7,9.163636364,Ulstein,4480,0,semi-urban,32,32,0.008901985,4.34E-05,0.051151186
