,kommunenummer,navn,Y,expected,SMR,kommunenavn,prosent,re_u,re_v,RR,LL,UL
1,301,Oslo,618,726.87337,0.850216868,Oslo,28,1,1,0.935886872,0.873073242,0.988438262
2,1101,Eigersund,19,17.53890496,1.083305944,Eigersund,22,2,2,0.967435465,0.873257357,1.036782839
3,1103,Stavanger,157,155.8283291,1.007518985,Stavanger,21,3,3,0.970579799,0.886170569,1.043270799
4,1106,Haugesund,44,43.23453391,1.017704969,Haugesund,23,4,4,1.00336186,0.902831002,1.133391694
5,1108,Sandnes,75,83.24529336,0.900951837,Sandnes,22,5,5,0.974197433,0.898713852,1.032243417
6,1111,Sokndal,2,4.168623206,0.479774712,Sokndal,45,6,6,0.992657787,0.882706337,1.07149392
7,1112,Lund,0,3.877619204,0,Lund,42,7,7,0.962399741,0.860911444,1.034678865
8,1114,Bjerkreim,0,3.044580628,0,Bjerkreim,23,8,8,0.970640691,0.87617078,1.038378251
9,1119,HÃ¥,17,20.74371378,0.819525384,Hå,28,9,9,1.01151445,0.908650805,1.086968726
10,1120,Klepp,20,20.9833308,0.953137526,Klepp,27,10,10,1.006661286,0.909930493,1.079602736
11,1121,Time,20,20.60169754,0.970793789,Time,23,11,11,0.986224235,0.894094676,1.054039159
12,1122,Gjesdal,11,11.92267376,0.922611842,Gjesdal,30,12,12,0.969152815,0.876691823,1.037691721
13,1124,Sola,25,29.3344643,0.852239869,Sola,21,13,13,0.971029549,0.876742273,1.043094186
14,1127,Randaberg,10,12.86347327,0.777395015,Randaberg,25,14,14,0.985215571,0.854837596,1.096641643
15,1130,Strand,15,15.04680281,0.996889518,Strand,28,15,15,1.012353974,0.910238828,1.09887506
16,1133,Hjelmeland,5,3.247007976,1.539879186,Hjelmeland,23,16,16,1.016341211,0.933320339,1.089881899
17,1134,Suldal,6,4.748630463,1.263522198,Suldal,28,17,17,1.000618637,0.937322793,1.06849215
18,1135,Sauda,8,6.349213433,1.259998594,Sauda,25,18,18,1.017352334,0.941463217,1.108890665
19,1144,KvitsÃ¸y,0,0.768446383,0,Kvitsøy,0,19,19,0.932723616,0.81364257,1.05238474
20,1145,Bokn,0,1.163564067,0,Bokn,41,20,20,0.931756546,0.811883458,1.050221243
21,1146,TysvÃ¦r,15,12.68719079,1.182294824,Tysvær,27,21,21,0.990641338,0.897838591,1.111376366
22,1149,KarmÃ¸y,51,49.64117392,1.027372964,Karmøy,32,22,22,1.043544237,0.935962823,1.180724497
23,1151,Utsira,0,0.273813097,0,Utsira,0,23,23,0.933941677,0.815717584,1.055401633
24,1160,Vindafjord,12,10.63161154,1.128709411,Vindafjord,31,24,24,0.99289413,0.915886698,1.088533693
25,1505,Kristiansund,40,29.42640427,1.359323403,Kristiansund,23,25,25,1.03812229,0.944709233,1.189335063
26,1506,Molde,46,39.7927286,1.155990092,Molde,21,26,26,1.001739391,0.932146969,1.115285602
27,1507,Ã…lesund,88,78.02431288,1.127853572,Ålesund,27,27,27,1.037456981,0.959194788,1.178353746
28,1511,Vanylven,7,4.605354296,1.51996992,Vanylven,37,28,28,1.036183585,0.951594192,1.19254538
29,1514,Sande,4,3.35792601,1.191211477,Sande,34,29,29,0.976072936,0.86190583,1.089449934
30,1515,HerÃ¸y,13,11.29210802,1.151246514,Herøy (Møre og Romsdal),23,30,30,1.017193662,0.9049114,1.139821472
31,1516,Ulstein,11,9.898469217,1.111282943,Ulstein,17,31,31,0.964238214,0.852314271,1.078694545
32,1517,Hareid,8,6.193471805,1.291682638,Hareid,24,32,32,1.018195663,0.904046333,1.139012595
33,1520,Ã˜rsta,15,13.63624761,1.10000936,Ørsta,27,33,33,1.060084079,0.97906691,1.201697909
34,1525,Stranda,8,6.36737656,1.256404412,Stranda,20,34,34,1.016491038,0.947485102,1.133286896
35,1528,Sykkylven,12,9.369744648,1.280717933,Sykkylven,27,35,35,1.086898343,0.997569002,1.235750731
36,1531,Sula,11,10.75050319,1.023207919,Sula,24,36,36,0.997747708,0.885058596,1.117263074
37,1532,Giske,9,9.780739338,0.920175836,Giske,24,37,37,1.016154116,0.897668004,1.134782741
38,1535,Vestnes,12,8.178987741,1.467174225,Vestnes,26,38,38,1.06033917,0.980333248,1.202312465
39,1539,Rauma,12,9.931331186,1.208297234,Rauma,24,39,39,1.021646447,0.95548898,1.131873328
40,1547,Aukra,7,4.556469528,1.536277146,Aukra,31,40,40,1.084511693,0.985818379,1.253473295
41,1554,AverÃ¸y,9,7.225134842,1.245651493,Averøy,29,41,41,1.074736115,0.949930702,1.216644445
42,1557,Gjemnes,4,3.284402039,1.2178777,Gjemnes,21,42,42,1.053864025,0.962785385,1.212265066
43,1560,Tingvoll,4,4.337229057,0.92224781,Tingvoll,17,43,43,1.054369673,0.945035665,1.214358124
44,1563,Sunndal,11,9.25511212,1.188532333,Sunndal,22,44,44,1.032400441,0.966318438,1.134328933
45,1566,Surnadal,9,7.959018616,1.130792681,Surnadal,20,45,45,1.008322418,0.940595456,1.107542255
46,1573,SmÃ¸la,4,2.978618304,1.342904525,Smøla,49,46,46,1.102652292,0.965064908,1.256657413
47,1576,Aure,8,4.87796771,1.640027256,Aure,37,47,47,1.033000217,0.925019919,1.202881706
48,1577,Volda,16,13.2510154,1.207454638,Volda,18,48,48,0.99298904,0.916882191,1.118645312
49,1578,Fjord,4,3.653163137,1.094941521,Fjord,22,49,49,1.093532747,1.006819691,1.226739915
50,1579,Hustadvika,18,15.91649696,1.13090211,Hustadvika,31,50,50,1.041195379,0.957370492,1.188985155
51,1804,BodÃ¸,67,59.80945218,1.120224272,Bodø,22,51,51,1.00652956,0.91945655,1.134558027
52,1806,Narvik,34,27.98208079,1.21506332,Narvik,25,52,52,1.015479868,0.924962053,1.138016469
53,1811,Bindal,0,2.06801413,0,Bindal,23,53,53,0.946429501,0.853358494,1.054000036
54,1812,SÃ¸mna,0,2.654670791,0,Sømna,36,54,54,1.020222096,0.909165065,1.146822394
55,1813,BrÃ¸nnÃ¸y,9,9.6071112,0.936806061,Brønnøy,26,55,55,1.063103592,0.961573218,1.185814782
56,1815,Vega,0,1.712737937,0,Vega,0,56,56,0.930421974,0.809563205,1.047077073
57,1816,Vevelstad,0,0.618034408,0,Vevelstad,0,57,57,0.948671459,0.83970531,1.079688979
58,1818,HerÃ¸y,3,2.343076906,1.280367705,Herøy (Nordland),35,58,58,0.995495523,0.887202328,1.126608303
59,1820,Alstahaug,13,9.249818244,1.405433021,Alstahaug,28,59,59,1.022659172,0.897820749,1.206027883
60,1822,Leirfjord,1,2.852620296,0.350554892,Leirfjord,31,60,60,1.050656994,0.946120572,1.19209259
61,1824,Vefsn,23,17.58240221,1.308126144,Vefsn,24,61,61,1.050651762,0.959443258,1.169608565
62,1825,Grane,0,2.17685418,0,Grane,0,62,62,1.046888065,0.953758903,1.15991711
63,1826,Hattfjelldal,0,1.924424309,0,Hattfjelldal,0,63,63,1.052380841,0.955628419,1.173152421
64,1827,DÃ¸nna,0,1.861185323,0,Dønna,35,64,64,1.126427449,0.966222576,1.287582543
65,1828,Nesna,0,2.251575218,0,Nesna,34,65,65,1.013890484,0.88809392,1.173826015
66,1832,Hemnes,9,6.251137358,1.439738,Hemnes,40,66,66,1.103029166,0.994516449,1.243848977
67,1833,Rana,39,32.96581502,1.183043707,Rana,28,67,67,1.041239529,0.9521744,1.164062141
68,1834,LurÃ¸y,0,2.730198019,0,Lurøy,24,68,68,1.221538627,1.029832071,1.454685992
69,1835,TrÃ¦na,0,0.553795359,0,Træna,0,69,69,0.933251292,0.814555218,1.053722148
70,1836,RÃ¸dÃ¸y,0,1.583040469,0,Rødøy,39,70,70,1.023145066,0.918842484,1.160530383
71,1837,MelÃ¸y,9,8.289925537,1.085655108,Meløy,36,71,71,1.06062711,0.959311626,1.199920471
72,1838,GildeskÃ¥l,1,2.725861003,0.366856563,Gildeskål,37,72,72,0.954067435,0.850896923,1.091684312
73,1839,Beiarn,0,1.630663094,0,Beiarn,0,73,73,1.066943188,0.968016017,1.204937524
74,1840,Saltdal,8,6.185219818,1.293405931,Saltdal,31,74,74,1.089294723,0.984600077,1.237506864
75,1841,Fauske,15,12.63858106,1.186842093,Fauske Fuosko,27,75,75,1.058152049,0.960073089,1.205301598
76,1845,SÃ¸rfold,4,2.672017172,1.496996367,Sørfold,24,76,76,1.015773196,0.923257058,1.154361848
77,1848,Steigen,4,3.652820816,1.095044132,Steigen,30,77,77,1.006718724,0.901603648,1.162406453
78,1851,LÃ¸dingen,1,3.161029903,0.316352591,Lødingen,33,78,78,1.021324081,0.916163179,1.171579057
79,1853,Evenes,0,1.955243221,0,Evenes,30,79,79,1.124493851,0.99023433,1.299852632
80,1856,RÃ¸st,0,0.668161644,0,Røst,0,80,80,0.932969957,0.814092496,1.053015863
81,1857,VÃ¦rÃ¸y,0,0.996199008,0,Værøy,0,81,81,1.325159452,1.049382358,1.645701081
82,1859,Flakstad,0,1.822635417,0,Flakstad,31,82,82,0.933732149,0.816416085,1.054306812
83,1860,VestvÃ¥gÃ¸y,14,14.10686359,0.99242471,Vestvågøy,27,83,83,1.002949832,0.889689196,1.120531341
84,1865,VÃ¥gan,17,11.70122186,1.452839729,Vågan,25,84,84,1.00131444,0.8844821,1.179250298
85,1866,Hadsel,12,10.46020671,1.147204862,Hadsel,30,85,85,1.059401438,0.942860714,1.231711824
86,1867,BÃ¸,4,4.192260792,0.954139115,Bø,27,86,86,1.052618427,0.922759671,1.239031257
87,1868,Ã˜ksnes,7,5.656554776,1.23750238,Øksnes,22,87,87,1.126234397,0.977434014,1.33639416
88,1870,Sortland,13,12.51662078,1.038618987,Sortland Suortá,26,88,88,1.060551298,0.947410873,1.222197457
89,1871,AndÃ¸y,8,6.741072234,1.186754825,Andøy,26,89,89,1.083364618,0.940396022,1.291739027
90,1874,Moskenes,0,1.560881114,0,Moskenes,0,90,90,0.934967831,0.818748934,1.057120208
91,1875,HamarÃ¸y,5,3.891247478,1.28493498,Hamarøy Hábmer,26,91,91,1.155093877,1.016101593,1.339123257
92,3001,Halden,42,38.43162376,1.092849999,Halden,28,92,92,1.059047972,0.970872373,1.159868585
93,3002,Moss,68,60.81999743,1.118053319,Moss,21,93,93,1.040250975,0.963265016,1.137314405
94,3003,Sarpsborg,73,68.6224328,1.063792072,Sarpsborg,26,94,94,1.043584974,0.973378365,1.128496265
95,3004,Fredrikstad,114,99.29601886,1.148082283,Fredrikstad,25,95,95,1.029548582,0.955094931,1.142546204
96,3005,Drammen,130,119.3287527,1.089427293,Drammen,27,96,96,1.004819901,0.945650339,1.076477789
97,3006,Kongsberg,31,33.62674465,0.921885253,Kongsberg,26,97,97,0.985026674,0.924393557,1.044228543
98,3007,Ringerike,41,38.18434896,1.073738354,Ringerike,27,98,98,1.00787918,0.951615751,1.060313583
99,3011,Hvaler,7,5.885370011,1.18938996,Hvaler,20,99,99,1.039305125,0.927925176,1.208315914
100,3012,Aremark,0,1.774855334,0,Aremark,0,100,100,1.080893169,0.978094666,1.192047719
101,3013,Marker,7,5.126417217,1.365476063,Marker,33,101,101,1.110065996,1.00202604,1.225922942
102,3014,Indre Ã˜stfold,58,53.87997483,1.076466724,Indre Østfold,24,102,102,1.068740902,0.99058889,1.147842343
103,3015,Skiptvet,2,4.298002641,0.465332427,Skiptvet,22,103,103,1.077328337,0.98567989,1.176575663
104,3016,Rakkestad,11,10.08183061,1.091071694,Rakkestad,31,104,104,1.061692378,0.979995681,1.15048127
105,3017,RÃ¥de,12,9.541540899,1.257658498,Råde,24,105,105,1.023976019,0.951090118,1.120923151
106,3018,VÃ¥ler,7,6.17811008,1.133032579,Våler (Viken),36,106,106,1.006668032,0.939101662,1.085047373
107,3019,Vestby,19,20.12539005,0.944081081,Vestby,24,107,107,0.985479518,0.914101561,1.062083387
108,3020,Nordre Follo,64,70.00591432,0.914208473,Nordre Follo,21,108,108,0.956512621,0.881459752,1.019300128
109,3021,Ã…s,20,22.7978332,0.877276355,Ås,24,109,109,0.981377667,0.904835144,1.054545533
110,3022,Frogn,22,19.79804285,1.111220951,Frogn,14,110,110,0.996366872,0.909398461,1.093896267
111,3023,Nesodden,23,21.74562419,1.057684056,Nesodden,31,111,111,0.978992708,0.86347477,1.117016964
112,3024,BÃ¦rum,140,150.7509865,0.928683806,Bærum,19,112,112,0.944925387,0.878160487,1.005449552
113,3025,Asker,100,109.964016,0.909388395,Asker,22,113,113,0.958735173,0.876389981,1.029563967
114,3026,Aurskog-HÃ¸land,23,21.30187986,1.079716915,Aurskog-Høland,31,114,114,1.060472207,0.979791752,1.14117466
