,kommunenummer,navn,SMR,RR
1,301,Oslo,0.850216868,0.935689412
2,1101,Eigersund,1.083305944,0.967056531
3,1103,Stavanger,1.007518985,0.97009988
4,1106,Haugesund,1.017704969,1.001719468
5,1108,Sandnes,0.900951837,0.974133678
6,1111,Sokndal,0.479774712,0.992849897
7,1112,Lund,0,0.962220262
8,1114,Bjerkreim,0,0.970561885
9,1119,Hå,0.819525384,1.011653246
10,1120,Klepp,0.953137526,1.006897454
11,1121,Time,0.970793789,0.9860524
12,1122,Gjesdal,0.922611842,0.968983924
13,1124,Sola,0.852239869,0.971198544
14,1127,Randaberg,0.777395015,0.984922783
15,1130,Strand,0.996889518,1.0124081
16,1133,Hjelmeland,1.539879186,1.016239354
17,1134,Suldal,1.263522198,0.999481122
18,1135,Sauda,1.259998594,1.016421705
19,1144,Kvitsøy,0,0.930621175
20,1145,Bokn,0,0.930621175
21,1146,Tysvær,1.182294824,0.988549228
22,1149,Karmøy,1.027372964,1.041694596
23,1151,Utsira,0,0.932909364
24,1160,Vindafjord,1.128709411,0.991035681
25,1505,Kristiansund,1.359323403,1.036423874
26,1506,Molde,1.155990092,0.998584377
27,1507,Ålesund,1.127853572,1.034285398
28,1511,Vanylven,1.51996992,1.032839789
29,1514,Sande,1.191211477,0.9749911
30,1515,Herøy,1.151246514,1.015859056
31,1516,Ulstein,1.111282943,0.962158732
32,1517,Hareid,1.291682638,1.017730165
33,1520,Ørsta,1.10000936,1.057225483
34,1525,Stranda,1.256404412,1.013882315
35,1528,Sykkylven,1.280717933,1.084668511
36,1531,Sula,1.023207919,0.995823267
37,1532,Giske,0.920175836,1.014660892
38,1535,Vestnes,1.467174225,1.057502162
39,1539,Rauma,1.208297234,1.018806479
40,1547,Aukra,1.536277146,1.080806682
41,1554,Averøy,1.245651493,1.074423107
42,1557,Gjemnes,1.2178777,1.051073705
43,1560,Tingvoll,0.92224781,1.053425695
44,1563,Sunndal,1.188532333,1.030589733
45,1566,Surnadal,1.130792681,1.006446939
46,1573,Smøla,1.342904525,1.101911583
47,1576,Aure,1.640027256,1.030563166
48,1577,Volda,1.207454638,0.990077719
49,1578,Fjord,1.094941521,1.090899222
50,1579,Hustadvika,1.13090211,1.037853684
51,1804,Bodø,1.120224272,0.999673955
52,1806,Narvik,1.21506332,1.009623023
53,1811,Bindal,0,0.942336628
54,1812,Sømna,0,1.01592582
55,1813,Brønnøy,0.936806061,1.058781848
56,1815,Vega,0,0.92836393
57,1816,Vevelstad,0,0.943467955
58,1818,Herøy,1.280367705,0.994884438
59,1820,Alstahaug,1.405433021,1.017839536
60,1822,Leirfjord,0.350554892,1.04589376
61,1824,Vefsn,1.308126144,1.045953384
62,1825,Grane,0,1.043062926
63,1826,Hattfjelldal,0,1.048177564
64,1827,Dønna,0,1.125379694
65,1828,Nesna,0,1.00871713
66,1832,Hemnes,1.439738,1.098506116
67,1833,Rana,1.183043707,1.035342671
68,1834,Lurøy,0,1.215812631
69,1835,Træna,0,0.930621175
70,1836,Rødøy,0,1.016752679
71,1837,Meløy,1.085655108,1.054590811
72,1838,Gildeskål,0.366856563,0.947290275
