,kommunenummer,navn,SMR,RR,LL,UL
1,301,Oslo,0.971588127,0.971620955,0.859739538,1.089569604
2,1101,Eigersund,1.654503127,1.521719766,0.76747636,2.530748433
3,1103,Stavanger,1.331338285,1.329770214,1.053948653,1.634377342
4,1106,Haugesund,1.700943282,1.725493953,1.146183277,2.41387652
5,1108,Sandnes,1.267466708,1.273428176,0.913776495,1.687243772
6,1111,Sokndal,0,0.257710401,0.013356077,1.048000645
7,1112,Lund,0,0.374357683,0.015217307,1.655509751
8,1114,Bjerkreim,0,0.360870043,0.01476571,1.599523424
9,1119,Hå,0,0.111897566,0.00951328,0.384214326
10,1120,Klepp,0.860403008,0.861735838,0.362652744,1.5834999
11,1121,Time,0,0.115545378,0.010017746,0.393614199
12,1122,Gjesdal,0,0.158158167,0.011851209,0.567231232
13,1124,Sola,1.146525945,1.166109952,0.628039975,1.86546161
14,1127,Randaberg,0.608982607,0.628974661,0.166088278,1.44335588
15,1130,Strand,1.216229087,1.128830318,0.470675963,2.084233835
16,1133,Hjelmeland,0,0.342956688,0.013695724,1.532068735
17,1134,Suldal,0,0.254242921,0.013637972,1.027419202
18,1135,Sauda,1.272591341,1.330781388,0.317204835,3.198556959
19,1144,Kvitsøy,0,0.995303143,0.01659218,6.027578476
20,1145,Bokn,0,0.995303143,0.01659218,6.027578476
21,1146,Tysvær,0,0.162368876,0.012060516,0.583317366
22,1149,Karmøy,1.532575499,1.506689695,1.008818479,2.096410212
23,1151,Utsira,0,0.995303143,0.01659218,6.027578476
24,1160,Vindafjord,0,0.177863554,0.012298766,0.658124311
25,1505,Kristiansund,1.884393412,1.868622999,1.156644823,2.740646396
26,1506,Molde,1.132362681,1.112996036,0.650193151,1.693997313
27,1507,Ålesund,1.281124921,1.254779186,0.887391963,1.680088299
28,1511,Vanylven,0,0.225979983,0.010210022,0.963007902
29,1514,Sande,0,0.377955534,0.014830176,1.694368519
30,1515,Herøy,0,0.169949366,0.01114372,0.640857164
31,1516,Ulstein,0,0.182863947,0.012480924,0.679867424
32,1517,Hareid,0,0.254299173,0.012817551,1.046611683
33,1520,Ørsta,0.389897311,0.419920009,0.081654581,1.091947851
34,1525,Stranda,0,0.23353464,0.011743605,0.979246469
35,1528,Sykkylven,0,0.149047481,0.009026756,0.580205011
36,1531,Sula,0,0.169819549,0.011028377,0.641735359
37,1532,Giske,0.802622794,0.74251061,0.190258169,1.727544747
38,1535,Vestnes,0,0.18562617,0.010763852,0.735993604
39,1539,Rauma,1.081727809,0.940362739,0.281619522,2.041246174
40,1547,Aukra,0,0.214568727,0.009507867,0.920817896
41,1554,Averøy,0,0.181740023,0.009826563,0.729241458
42,1557,Gjemnes,0,0.303466437,0.01053505,1.421265469
43,1560,Tingvoll,0,0.219852326,0.009392992,0.942804585
44,1563,Sunndal,0,0.184593422,0.010805636,0.733234785
45,1566,Surnadal,0,0.192873151,0.011649234,0.756798374
46,1573,Smøla,0,0.291604772,0.00977198,1.374215162
47,1576,Aure,0,0.238803865,0.011334353,1.00132044
48,1577,Volda,0,0.146431914,0.01053684,0.539230449
49,1578,Fjord,0,0.284199556,0.010331462,1.336656849
50,1579,Hustadvika,0,0.125290335,0.009178855,0.456273893
51,1804,Bodø,1.177258859,1.164750019,0.768807021,1.636635086
52,1806,Narvik,1.717562754,1.751413203,1.038586946,2.640744512
53,1811,Bindal,0,0.370640305,0.015350322,1.652761754
54,1812,Sømna,0,0.320553376,0.012034794,1.472009462
55,1813,Brønnøy,0,0.156143596,0.010095293,0.59490645
56,1815,Vega,0,0.39086513,0.015252573,1.752969693
57,1816,Vevelstad,0,0.904715004,0.016210854,5.429056578
58,1818,Herøy,0,0.359139439,0.013878325,1.623054728
59,1820,Alstahaug,1.427439949,1.191550816,0.412101623,2.416121475
60,1822,Leirfjord,0,0.326325504,0.012609325,1.482178335
61,1824,Vefsn,1.365034424,1.230758653,0.570960498,2.145689885
62,1825,Grane,0,0.308304434,0.01196236,1.412800926
63,1826,Hattfjelldal,0,0.309893913,0.011943528,1.418973354
64,1827,Dønna,0,0.285766536,0.009419001,1.354110521
65,1828,Nesna,0,0.354474464,0.01338316,1.610181576
66,1832,Hemnes,0,0.21897467,0.01062468,0.918925901
67,1833,Rana,1.450476017,1.465509853,0.870249109,2.207715224
68,1834,Lurøy,0,0.257924587,0.007680376,1.252133324
69,1835,Træna,0,0.995303143,0.01659218,6.027578476
70,1836,Rødøy,0,0.347835507,0.013679069,1.562221819
71,1837,Meløy,0.967298925,0.932944515,0.231409776,2.203758036
72,1838,Gildeskål,0,0.40463948,0.016481437,1.78345608
73,1839,Beiarn,0,0.32510977,0.012591638,1.469873497
74,1840,Saltdal,0,0.23423845,0.011599125,0.968411201
75,1841,Fauske,2.106141727,1.893686643,0.91313907,3.230478976
76,1845,Sørfold,0,0.357029641,0.01429854,1.591652159
77,1848,Steigen,0,0.35889196,0.014054614,1.613222421
78,1851,Lødingen,0,0.351738581,0.014051845,1.569030261
79,1853,Evenes,0,0.288469123,0.010109932,1.347522636
80,1856,Røst,0,0.995303143,0.01659218,6.027578476
81,1857,Værøy,0,0.424104584,0.00445755,2.700365246
