"","kommunenummer","navn","Y","expected","SMR","kommunenavn","smoking","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",3171,3825.218427032,0.828972269293492,"Oslo",2.6,1,1,0.858508357274227,0.829853032023922,0.886754329234179
"2",1101,"Eigersund",97,89.5034658332804,1.08375691485158,"Eigersund",4.1,2,2,0.981199698238461,0.906744680724134,1.06091176712127
"3",1103,"Stavanger",835,813.096688192232,1.02693813924696,"Stavanger",3.7,3,3,0.994380091275458,0.938820906755892,1.05221362760075
"4",1106,"Haugesund",246,221.971562970958,1.1082500690964,"Haugesund",4.3,4,4,1.07118141071234,0.98265024263127,1.16565681564622
"5",1108,"Sandnes",397,438.928414873163,0.904475505680626,"Sandnes",4.5,5,5,0.962221228754251,0.908477395749486,1.01536683761613
"6",1111,"Sokndal",20,20.8942383429898,0.957201677883138,"Sokndal",6.3,6,6,1.01277635536408,0.91907267206883,1.11184955336885
"7",1112,"Lund",18,19.7532520532528,0.911242359054286,"Lund",3.9,7,7,0.977742978905337,0.894708157944332,1.06616848433731
"8",1114,"Bjerkreim",15,15.9152297171608,0.942493464849336,"Bjerkreim",4.5,8,8,0.97023031930094,0.89431107734938,1.04992626854979
"9",1119,"HÃ¥",98,108.4330649486,0.903783362081066,"Hå",7.8,9,9,1.00182029117992,0.921341038967111,1.08286549671257
"10",1120,"Klepp",98,110.176016291539,0.889485781920818,"Klepp",7.2,10,10,0.987796787796487,0.910260409063272,1.06570726668961
"11",1121,"Time",94,107.577733733725,0.873786765509186,"Time",5.6,11,11,0.969281222980744,0.896554184779789,1.0430438756081
"12",1122,"Gjesdal",54,63.7524439336634,0.84702635174565,"Gjesdal",4.2,12,12,0.95932816648983,0.88439999142807,1.03638898295587
"13",1124,"Sola",132,153.527121791362,0.859782939065212,"Sola",4.3,13,13,0.951723955796189,0.878052782573674,1.02628195310612
"14",1127,"Randaberg",59,66.3680275673162,0.888982272980119,"Randaberg",5.3,14,14,0.987731044633007,0.876151116249854,1.10615794924742
"15",1130,"Strand",79,77.474044585167,1.01969634376266,"Strand",7.1,15,15,1.0247771909809,0.931663509019873,1.1220013796192
"16",1133,"Hjelmeland",22,16.3684828667011,1.34404637125871,"Hjelmeland",7.1,16,16,1.04345496481624,0.962868457357724,1.12942836213582
"17",1134,"Suldal",28,24.0365061843462,1.16489475572099,"Suldal",5.1,17,17,1.04144382556636,0.970930128755744,1.11788766723249
"18",1135,"Sauda",35,31.3773950889228,1.11545269774023,"Sauda",6,18,18,1.0656415657263,0.975755246835856,1.16570121250861
"19",1144,"KvitsÃ¸y",3,3.78176214505393,0.793280985141707,"Kvitsøy",0,19,19,0.940728169401968,0.816613715590984,1.08127009569112
"20",1145,"Bokn",7,5.75210551537672,1.21694568732916,"Bokn",0,20,20,0.950280680832705,0.826210382057109,1.09323178421057
"21",1146,"TysvÃ¦r",67,65.6806457201687,1.02008741335236,"Tysvær",3.3,21,21,1.0400555327905,0.950221192136446,1.13649431671697
"22",1149,"KarmÃ¸y",282,254.521477947495,1.10796150593693,"Karmøy",7.5,22,22,1.11131944133543,1.0196138811694,1.2080454698082
"23",1151,"Utsira",0,1.34875576379191,0,"Utsira",0,23,23,0.937513194478065,0.812777555655236,1.07802424690388
"24",1160,"Vindafjord",55,53.8955573825175,1.02049227563682,"Vindafjord",3.9,24,24,1.0345122720493,0.948409314364603,1.12887953826137
"25",1505,"Kristiansund",181,149.603049679748,1.20986838428403,"Kristiansund",6.3,25,25,1.10914297892972,1.00051785245138,1.23200218039463
"26",1506,"Molde",206,201.182928929439,1.02394373665894,"Molde",2.8,26,26,1.00013548102202,0.929673999819031,1.0758635411121
"27",1507,"Ã…lesund",401,399.372219665358,1.00407584767916,"Ålesund",4.8,27,27,1.01429212188994,0.940951155997715,1.09084693875872
"28",1511,"Vanylven",26,22.5060569708538,1.15524456521509,"Vanylven",5,28,28,1.02249320235227,0.916221689906985,1.13693768104383
"29",1514,"Sande",16,16.5902280853795,0.964423148232687,"Sande",3.6,29,29,0.994989607035128,0.881991649529543,1.12092640110849
"30",1515,"HerÃ¸y",58,56.9217066322798,1.01894344761456,"Herøy (Møre og Romsdal)",6.5,30,30,1.03509834722526,0.918698998168143,1.16183591813094
"31",1516,"Ulstein",43,50.9597094236048,0.843803869495422,"Ulstein",2.5,31,31,0.957489446194488,0.849313526296891,1.07410244738838
"32",1517,"Hareid",32,31.5322994064353,1.01483242904478,"Hareid",6.7,32,32,1.05939758725458,0.941754935483508,1.19220743348298
"33",1520,"Ã˜rsta",64,68.7182958549149,0.93133857881347,"Ørsta",7,33,33,1.03640609799851,0.943823388134869,1.13253692816086
"34",1525,"Stranda",32,31.359844652373,1.02041321807309,"Stranda",3.8,34,34,1.00124089806562,0.926366921072042,1.08103261347509
"35",1528,"Sykkylven",52,47.5845879213938,1.09279080205339,"Sykkylven",8.9,35,35,1.07812109285511,0.980986993310624,1.18019203732493
"36",1531,"Sula",53,55.2702042840286,0.958925350223744,"Sula",5.1,36,36,1.00433721233875,0.886796438330005,1.130966967622
"37",1532,"Giske",42,50.3417530472775,0.834297525566035,"Giske",6.8,37,37,1.00137180896537,0.879373933367378,1.12731491993901
"38",1535,"Vestnes",47,41.3393297908828,1.13693183314176,"Vestnes",6.8,38,38,1.05646957872334,0.965965353820849,1.15374618575738
"39",1539,"Rauma",56,49.4112802855788,1.1333444443524,"Rauma",4.4,39,39,1.02300932836531,0.949189791570933,1.10311232653424
