kommunenummer,kommunenavn,Divorced,Married,Not married,Other matrimonial status,Separated,Widow(er),Total
5018,Åfjord ,242,1192,1647,0,27,232,3340
5016,Agdenes ,133,640,776,0,15,129,1693
619,Ål ,394,1643,2320,0,24,290,4671
1504,Ålesund ,3275,16245,26063,11,480,1924,47998
1820,Alstahaug,544,2462,3973,1,69,366,7415
2012,Alta ,1649,6035,11990,8,266,717,20665
438,Alvdal ,158,796,1312,0,28,124,2418
929,Åmli ,153,649,901,0,35,110,1848
429,Åmot ,398,1279,2424,3,46,257,4407
1871,Andøy,397,1711,2283,2,48,330,4771
1424,Årdal ,338,1827,2658,0,40,382,5245
118,Aremark ,129,537,579,2,22,88,1357
906,Arendal ,4367,15972,21745,14,623,2064,44785
214,Ås ,1381,6996,11091,14,213,640,20335
1026,Åseral ,54,350,468,0,5,62,939
220,Asker ,4613,23673,30271,31,729,2206,61523
124,Askim ,1734,5517,7617,8,230,759,15865
1247,Askøy ,1794,10217,16028,4,291,941,29275
1428,Askvoll ,183,1168,1462,0,16,209,3038
425,Åsnes ,803,2337,3488,7,89,490,7214
1027,Audnedal ,86,756,829,0,22,87,1780
1547,Aukra,238,1356,1750,0,33,162,3539
1576,Aure,250,1271,1778,0,29,225,3553
1421,Aurland ,95,579,966,1,12,111,1764
221,Aurskog-Høland ,1556,5858,8031,10,221,824,16500
1244,Austevoll ,247,2016,2658,1,60,230,5212
1264,Austrheim ,201,1094,1404,0,39,149,2887
1554,Averøy,452,2165,2874,1,59,298,5849
219,Bærum ,9442,48014,62968,61,1444,4912,126841
1418,Balestrand ,90,485,635,0,7,62,1279
1854,Ballangen ,186,835,1260,2,29,158,2470
1933,Balsfjord ,482,1728,3011,1,42,361,5625
814,Bamble ,1229,5510,6494,1,154,701,14089
1922,Bardu ,233,1262,2303,2,38,192,4030
2028,Båtsfjord ,161,699,1290,1,30,89,2270
1839,Beiarn,80,367,498,0,7,70,1022
1929,Berg ,74,295,447,1,7,64,888
1201,Bergen ,20741,88488,158330,135,2973,10523,281190
2024,Berlevåg ,124,290,502,0,6,59,981
1811,Bindal,101,475,756,0,8,110,1450
928,Birkenes ,332,1997,2622,2,61,198,5212
1114,Bjerkreim,134,1236,1315,0,29,93,2807
5017,Bjugn ,442,1583,2575,0,46,258,4904
1867,Bø (Nordland),263,846,1277,0,25,205,2616
821,Bø (Telemark) ,422,1978,3845,8,82,295,6630
1804,Bodø,3780,16021,29832,16,511,1864,52024
1145,Bokn,50,329,400,0,8,53,840
1219,Bømlo ,660,4705,5943,1,94,557,11960
1438,Bremanger ,192,1408,1795,0,33,277,3705
