kommunenummer,K1,K2,K3,K4,K5,K6,K7
101,0.0,0.0,0.0,0.0,0.0,31177.0,0.0
104,0.0,0.0,0.0,0.0,0.0,32726.0,0.0
105,0.0,0.0,0.0,0.0,0.0,55997.0,0.0
106,0.0,0.0,0.0,0.0,0.0,81772.0,0.0
111,0.0,0.0,0.0,0.0,4599.0,0.0,0.0
118,0.0,0.0,0.0,1357.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,3592.0,0.0,0.0
121,0.0,0.0,673.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,5347.0,0.0,0.0
123,0.0,0.0,0.0,0.0,6042.0,0.0,0.0
124,0.0,0.0,0.0,0.0,15865.0,0.0,0.0
125,0.0,0.0,0.0,0.0,11424.0,0.0,0.0
127,0.0,0.0,0.0,0.0,3797.0,0.0,0.0
128,0.0,0.0,0.0,0.0,8230.0,0.0,0.0
135,0.0,0.0,0.0,0.0,7542.0,0.0,0.0
136,0.0,0.0,0.0,0.0,16145.0,0.0,0.0
137,0.0,0.0,0.0,0.0,5593.0,0.0,0.0
138,0.0,0.0,0.0,0.0,5642.0,0.0,0.0
211,0.0,0.0,0.0,0.0,17824.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,30843.0,0.0
214,0.0,0.0,0.0,0.0,0.0,20334.0,0.0
215,0.0,0.0,0.0,0.0,15761.0,0.0,0.0
216,0.0,0.0,0.0,0.0,19488.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,27393.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,126841.0
220,0.0,0.0,0.0,0.0,0.0,61523.0,0.0
221,0.0,0.0,0.0,0.0,16500.0,0.0,0.0
226,0.0,0.0,0.0,0.0,18263.0,0.0,0.0
227,0.0,0.0,0.0,0.0,11842.0,0.0,0.0
228,0.0,0.0,0.0,0.0,18161.0,0.0,0.0
229,0.0,0.0,0.0,0.0,11026.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,40105.0,0.0
231,0.0,0.0,0.0,0.0,0.0,55651.0,0.0
233,0.0,0.0,0.0,0.0,0.0,24089.0,0.0
234,0.0,0.0,0.0,0.0,6823.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,38234.0,0.0
236,0.0,0.0,0.0,0.0,0.0,21885.0,0.0
237,0.0,0.0,0.0,0.0,0.0,24919.0,0.0
238,0.0,0.0,0.0,0.0,13682.0,0.0,0.0
239,0.0,0.0,0.0,0.0,2864.0,0.0,0.0
301,0.0,0.0,0.0,0.0,0.0,0.0,681040.0
402,0.0,0.0,0.0,0.0,17823.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,31144.0,0.0
412,0.0,0.0,0.0,0.0,0.0,34486.0,0.0
415,0.0,0.0,0.0,0.0,7663.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,20916.0,0.0
418,0.0,0.0,0.0,0.0,5024.0,0.0,0.0
419,0.0,0.0,0.0,0.0,7879.0,0.0,0.0
420,0.0,0.0,0.0,0.0,6114.0,0.0,0.0
423,0.0,0.0,0.0,0.0,4645.0,0.0,0.0
425,0.0,0.0,0.0,0.0,7214.0,0.0,0.0
426,0.0,0.0,0.0,0.0,3705.0,0.0,0.0
427,0.0,0.0,0.0,0.0,0.0,21191.0,0.0
428,0.0,0.0,0.0,0.0,6607.0,0.0,0.0
429,0.0,0.0,0.0,0.0,4406.0,0.0,0.0
430,0.0,0.0,0.0,0.0,2459.0,0.0,0.0
432,0.0,0.0,0.0,1791.0,0.0,0.0,0.0
434,0.0,0.0,0.0,1286.0,0.0,0.0,0.0
436,0.0,0.0,0.0,1551.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0,5591.0,0.0,0.0
438,0.0,0.0,0.0,0.0,2418.0,0.0,0.0
439,0.0,0.0,0.0,1577.0,0.0,0.0,0.0
441,0.0,0.0,0.0,1912.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0,28021.0,0.0
502,0.0,0.0,0.0,0.0,0.0,30676.0,0.0
