fylkenummer,fylkenavn,IOs_kjonn,Never exercises
1,Østfold,1,17
1,Østfold,2,23
2,Akershus,1,10
2,Akershus,2,11
3,Oslo,1,12
3,Oslo,2,12
4,Hedmark,1,15
4,Hedmark,2,20
5,Oppland,1,16
5,Oppland,2,13
6,Buskerud,1,20
6,Buskerud,2,12
7,Vestfold,1,21
7,Vestfold,2,17
8,Telemark,1,17
8,Telemark,2,17
9,Aust-Agder,1,16
9,Aust-Agder,2,13
10,Vest-Agder,1,17
10,Vest-Agder,2,14
11,Rogaland,1,14
11,Rogaland,2,12
12,Hordaland,1,11
12,Hordaland,2,8
14,Sogn og Fjordane,1,17
14,Sogn og Fjordane,2,8
15,Møre og Romsdal,1,11
15,Møre og Romsdal,2,8
18,Nordland,1,12
18,Nordland,2,8
19,Troms - Romsa,1,16
19,Troms - Romsa,2,15
20,Finnmark - Finnmárku,1,15
20,Finnmark - Finnmárku,2,13
50,Trøndelag - Trööndelage,1,14
50,Trøndelag - Trööndelage,2,12
