komunenummer,komunenavn,digestive,exercise,smoke,snuff
301,Oslo,122,12.100,17.268,20.152
1101,Eigersund,123,13.061,16.541,13.055
1103,Stavanger,135,13.362,16.251,11.320
1106,Haugesund,128,8.468,15.077,16.966
1108,Sandnes,131,7.765,28.836,23.820
1111,Sokndal,97,12.750,16.414,13.174
1112,Lund,93,12.761,16.309,12.979
1114,Bjerkreim,150,12.540,16.744,13.217
1119,Hå,117,12.689,16.735,13.285
1120,Klepp,140,12.770,17.018,13.767
1121,Time,133,12.727,17.012,14.026
1122,Gjesdal,147,12.635,17.227,14.048
1124,Sola,122,7.725,13.648,16.869
1127,Randaberg,122,12.458,16.502,13.345
1130,Strand,138,12.710,16.589,13.552
1133,Hjelmeland,159,12.925,15.465,11.730
1134,Suldal,133,13.073,15.683,12.414
1135,Sauda,135,13.378,15.662,13.074
1144,Kvitsøy,85,5.294,11.569,16.471
1145,Bokn,0,5.974,9.558,18.757
1146,Tysvær,154,12.689,16.726,13.778
1149,Karmøy,131,8.800,14.543,16.908
1151,Utsira,0,23.980,21.939,14.286
1160,Vindafjord,129,13.208,16.413,12.991
1505,Kristiansund,154,8.955,15.872,16.796
1506,Molde,132,9.230,16.168,20.190
1507,Ålesund,138,8.825,15.001,19.525
1511,Vanylven,148,9.433,16.746,20.829
1514,Sande,104,9.168,15.923,19.059
1515,Herøy (Møre og Romsdal),142,9.421,15.848,22.454
1516,Ulstein,152,9.215,16.172,23.374
1517,Hareid,138,9.687,15.911,23.206
1520,Ørsta,119,9.444,16.029,24.384
1525,Stranda,139,9.432,14.740,20.311
1528,Sykkylven,148,9.304,15.977,23.004
1531,Sula,121,9.497,15.457,24.662
1532,Giske,120,9.492,15.326,24.674
1535,Vestnes,154,9.269,16.286,22.660
1539,Rauma,122,9.702,16.232,22.829
1547,Aukra,148,9.191,15.858,22.553
1554,Averøy,131,9.387,16.358,22.491
1557,Gjemnes,135,9.578,16.268,22.767
1560,Tingvoll,105,9.172,16.991,21.412
1563,Sunndal,124,9.245,17.262,23.035
1566,Surnadal,127,9.198,16.557,23.021
1573,Smøla,146,9.211,16.494,20.865
1576,Aure,141,9.155,16.901,21.380
1577,Volda,141,7.860,13.633,19.240
1578,Fjord,108,8.033,12.644,14.640
1579,Hustadvika,132,9.412,16.286,24.330
1804,Bodø,145,8.779,11.021,18.762
1806,Narvik,126,12.697,15.563,18.160
1811,Bindal,110,10.000,9.724,18.000
1812,Sømna,175,14.002,18.620,18.322
1813,Brønnøy,107,13.590,18.622,19.001
1815,Vega,139,9.845,9.439,18.714
1816,Vevelstad,233,8.943,19.106,12.398
1818,Herøy (Nordland),139,8.596,8.258,24.775
1820,Alstahaug,154,13.601,18.287,17.896
1822,Leirfjord,141,13.379,17.954,18.558
1824,Vefsn,136,14.126,18.570,18.503
1825,Grane,155,9.712,9.243,19.625
1826,Hattfjelldal,121,9.051,9.272,19.426
1827,Dønna,194,9.921,9.418,19.051
1828,Nesna,99,9.406,8.735,22.900
1832,Hemnes,154,14.276,18.323,18.657
1833,Rana,134,8.902,10.715,17.337
1834,Lurøy,183,9.642,8.799,18.493
1835,Træna,213,14.978,20.264,13.436
1836,Rødøy,152,9.855,9.047,18.659
1837,Meløy,121,13.908,18.359,17.995
1838,Gildeskål,116,8.595,8.797,21.385
1839,Beiarn,92,9.198,9.785,17.808
1840,Saltdal,143,13.545,18.061,17.437
1841,Fauske Fuosko,132,13.732,18.593,18.316
1845,Sørfold,193,9.468,9.165,19.089
1848,Steigen,123,14.441,18.334,16.271
1851,Lødingen,124,14.099,18.107,14.872
1853,Evenes,109,8.382,8.815,20.159
1856,Røst,187,7.480,23.031,13.386
1857,Værøy,110,7.104,25.820,13.934
1859,Flakstad,127,9.620,9.310,17.611
1860,Vestvågøy,119,14.070,18.682,18.874
1865,Vågan,157,14.423,18.705,17.796
1866,Hadsel,127,13.969,18.510,17.879
1867,Bø,112,14.466,18.446,16.227
1868,Øksnes,129,14.597,18.781,17.117
1870,Sortland Suortá,122,13.749,18.877,19.543
1871,Andøy,114,14.420,17.963,17.166
1874,Moskenes,160,8.809,8.519,22.072
1875,Hamarøy Hábmer,131,8.643,8.815,21.465
3001,Halden,123,17.491,17.766,14.543
3002,Moss,133,15.595,16.175,14.380
3003,Sarpsborg,126,17.407,17.613,14.574
3004,Fredrikstad,136,17.309,17.758,14.370
3005,Drammen,134,15.914,16.332,14.660
3006,Kongsberg,115,17.004,17.712,14.597
3007,Ringerike,122,17.621,17.687,14.089
3011,Hvaler,118,14.556,15.078,14.426
3012,Aremark,120,18.601,11.533,10.119
3013,Marker,137,14.461,14.489,14.322
3014,Indre Østfold,130,13.533,14.220,14.978
3015,Skiptvet,147,13.222,14.225,15.123
3016,Rakkestad,122,13.491,14.331,14.587
3017,Råde,129,13.227,13.825,14.290
3018,Våler (Viken),136,12.307,14.153,15.228
3019,Vestby,129,8.021,18.295,22.115
3020,Nordre Follo,117,2.373,19.536,24.070
3021,Ås,126,2.670,17.623,25.637
3022,Frogn,127,8.297,17.552,20.564
3023,Nesodden,136,8.034,18.481,22.158
3024,Bærum,118,12.359,16.949,18.805
3025,Asker,116,10.921,17.099,17.240
3026,Aurskog-Høland,132,7.452,22.883,24.460
3027,Rælingen,119,7.996,18.938,23.177
3028,Enebakk,145,7.867,19.161,22.926
