"","kommunenummer","navn","Y","expected","SMR","kommunenavn.x","radon.level","kommunenavn.y","arsen.air","arsen.water","kommunenavn.x.1","chromium.air","chromium.water","komunenavn","cadmium.air","cadmium.water","kommunenavn.y.1","nickel.air","nickel.water","crowded","poverty","kommunenavn","population","new_cases","pop_size","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",985,29678.6334725191,0.0331888596188925,"Oslo",1.828863991,"Oslo",0.166358,0.397772727272727,"Oslo",2.20024545454545,1.80540909090909,"Oslo",0.275918545454545,0.108890909090909,"Oslo",2.28932727272727,0.433109090909091,20.5833333333333,12.2909090909091,"Oslo",346184,985,"urban",1,1,0.0332188281838987,0.03117383710548,0.0353228736527537
"2",1101,"Eigersund",1358,860.688559252309,1.57780649620777,"Eigersund",0.976905888,"Eigersund",0.142875,0.1592125,"Eigersund",0.145375,0.2385125,"Eigersund",0.126625,0.0244625,"Eigersund",0.126625,0.379125,5.73333333333333,8.36363636363636,"Eigersund",7524,1358,"semi-urban",2,2,1.57835929060864,1.49537977776032,1.66335110645855
"3",1103,"Stavanger",1375,6842.36034795717,0.200954046568231,"Stavanger",1.012590855,"Stavanger",0,0,"Stavanger",0,0,"Stavanger",0,0,"Stavanger",0,0,10.1333333333333,8.7,"Stavanger",72035,1375,"urban",3,3,0.201037576668712,0.190533380030554,0.211794805687645
"4",1106,"Haugesund",930,2089.0995448508,0.445167872585228,"Haugesund",1.417032603,"Haugesund",0,0,"Haugesund",0,0,"Haugesund",0,0,"Haugesund",0,0,6.86666666666667,11.1909090909091,"Haugesund",19126,930,"urban",4,4,0.445421328730951,0.417211037572789,0.474471892900407
"5",1108,"Sandnes",1373,3564.86503251202,0.385147821159585,"Sandnes",1.523844539,"Sandnes",0.288818181818182,0,"Sandnes",0,0.806745454545455,"Sandnes",1.08322222222222,0.027,"Sandnes",0.992181818181818,0,1.38333333333333,7.5,"Sandnes",40505,1373,"urban",5,5,0.385353947414279,0.365205851135156,0.405987776260106
"6",1111,"Sokndal",1359,215.206229495809,6.31487296247839,"Sokndal",1.040609092,"Sokndal",0,4.21118181818182,"Sokndal",0,35.1860909090909,"Sokndal",0,0.713363636363636,"Sokndal",0,3429.448,6.91666666666667,9.69090909090909,"Sokndal",1653,1359,"rural",6,6,6.31739132489552,5.98536903370942,6.65746200111566
"7",1112,"Lund",1088,209.718116779091,5.18791612622604,"Lund",1.192150373,"Lund",0,0,"Lund",0,0,"Lund",0,0,"Lund",0,0,6.63333333333333,9.32727272727273,"Lund",1610,1088,"rural",7,7,5.18770801557245,4.88344970866304,5.50029434372227
"8",1114,"Bjerkreim",0,148.196633828544,0,"Bjerkreim",1.018571425,"Bjerkreim",0,0,"Bjerkreim",0,0,"Bjerkreim",0,0,"Bjerkreim",0,0,4.86666666666667,6.09090909090909,"Bjerkreim",1438,0,"rural",8,8,0.00886285770484295,0.000732562927400777,0.0300855507727687
"9",1119,"HÃ¥",1399,1006.78742758711,1.38956840507323,"Hå",1.058480925,"Hå",0.1670467,0,"Hå",0.528488,0,"Hå",0.0035415,0,"Hå",0.172124,0,6.01666666666667,6.54545454545455,"Hå",9760,1399,"semi-urban",9,9,1.39010552905004,1.31808901990757,1.46384045113689
"10",1120,"Klepp",1237,978.779858671004,1.26381840517193,"Klepp",1.05071036,"Klepp",0,0,"Klepp",0,0,"Klepp",0,0,"Klepp",0,0,6.46666666666667,6.36363636363636,"Klepp",10064,1237,"urban",10,10,1.26411114078565,1.19451920927158,1.33547885248762
"11",1121,"Time",1145,952.749746376168,1.20178462849774,"Time",1.423224737,"Time",0,0,"Time",0,0,"Time",0,0,"Time",0,0,6.96666666666667,5.90909090909091,"Time",9655,1145,"semi-urban",11,11,1.20245395083274,1.13369915072534,1.27303822995141
"12",1122,"Gjesdal",1089,465.667191834038,2.33858003977251,"Gjesdal",1.222266569,"Gjesdal",0,0,"Gjesdal",0,0,"Gjesdal",0,0,"Gjesdal",0,0,7.35,6.29090909090909,"Gjesdal",6091,1089,"semi-urban",12,12,2.33951504598958,2.20239224272333,2.48038775056467
"13",1124,"Sola",1216,1351.31913338737,0.899861453860893,"Sola",1.042659728,"Sola",0,0.2125,"Sola",0,0.376290909090909,"Sola",0,0.0221454545454545,"Sola",0,2.54452727272727,7.36666666666667,6.38181818181818,"Sola",13962,1216,"urban",13,13,0.900115910203681,0.850144145852131,0.951374758685232
"14",1127,"Randaberg",1159,646.720727820446,1.79211822065147,"Randaberg",1.08181141,"Randaberg",0,0.0564272727272727,"Randaberg",0,0.316857142857143,"Randaberg",0,0.00768181818181818,"Randaberg",0,0.2824,7.01666666666667,6.66363636363636,"Randaberg",5667,1159,"semi-urban",14,14,1.79286055062089,1.69095083644136,1.89746422434968
