,kommunenummer,RR,LL,UL
1,301,0.069104805,0.062672161,0.075819556
2,1101,1.725322404,1.53817205,1.921989098
3,1103,0.473111335,0.437478293,0.509985243
4,1106,1.223220518,1.119733946,1.33076852
5,1108,0.817246953,0.749762984,0.887306958
6,1111,380.0720536,1.98E-16,265.8958362
7,1112,0.002234934,9.77E-07,0.016453174
8,1114,0.003928917,1.72E-06,0.028875486
9,1119,3.365694942,3.093985501,3.647507883
10,1120,3.607837387,3.324296292,3.901644676
11,1121,3.258876149,2.996242299,3.531256789
12,1122,5.493832133,5.004704374,6.003317691
13,1124,2.40511364,2.213446854,2.603810995
14,1127,4.036773677,3.682182435,4.405895589
15,1130,4.705663587,4.349807666,5.073958562
16,1133,0.00229032,7.75E-07,0.01705325
17,1134,6.298342813,5.612164212,7.019550074
18,1135,6.86245569,6.2839476,7.463578787
19,1144,0.002218354,2.06E-08,0.011602373
20,1145,0.001687987,2.76E-08,0.010564554
21,1146,4.229375413,3.848801183,4.625989922
22,1149,1.088449494,0.996352517,1.184161072
23,1151,0.001997616,9.23E-09,0.00673327
24,1160,4.636507888,4.244528311,5.043861584
25,1505,0.907138211,0.801923712,1.018100923
26,1506,0.806175761,0.722461926,0.893980563
27,1507,0.473676009,0.425979959,0.52363842
28,1511,0.000566006,4.05E-08,0.004259733
29,1514,0.00096183,6.39E-08,0.007412187
30,1515,0.006676546,0.000108916,0.032047261
31,1515,0.006674198,0.000108544,0.032050828
32,1516,0.008530087,0.000131271,0.041393495
33,1517,0.011610733,0.0001569,0.05765343
34,1520,1.704878522,1.499962909,1.921467383
35,1525,0.010070014,0.00016331,0.048511988
36,1528,0.279265959,0.182894645,0.39435606
37,1531,2.268870276,1.985593383,2.569016804
38,1532,0.008138714,0.000104951,0.040681171
39,1535,0.314125218,0.20567544,0.443651255
40,1539,3.230303004,2.909195364,3.56648985
41,1547,0.000793983,5.43E-08,0.005986178
42,1554,0.010120269,0.000110706,0.052013965
43,1557,0.00086751,3.83E-08,0.006252031
44,1560,0.000608387,2.41E-08,0.004431932
45,1563,2.179646323,1.914549911,2.460054514
46,1566,2.829110662,2.481579387,3.196950407
47,1573,0.000564441,9.95E-09,0.00358153
48,1576,0.000375907,8.80E-09,0.00261532
49,1577,2.619619019,2.358521662,2.893012293
50,1578,0.000602232,5.01E-08,0.004491452
51,1579,0.150814151,0.095980051,0.217077406
52,1804,0.557835023,0.496728016,0.622076898
53,1806,1.371976725,1.245203181,1.504261547
54,1811,0.000172547,1.63E-09,0.000737754
55,1812,0.000232866,1.67E-09,0.001010532
56,1813,0.005620638,3.28E-05,0.031873918
57,1815,0.000651898,5.45E-09,0.003291618
58,1816,0.000237977,9.97E-10,0.000748127
59,1820,0.005808419,1.96E-05,0.034895543
60,1822,0.000114708,6.07E-10,0.000425728
61,1824,1.517399976,1.345599272,1.698326641
62,1825,0.000243502,2.53E-09,0.001087088
63,1826,0.000122088,6.89E-10,0.000436841
64,1827,0.000720043,7.80E-09,0.003897228
65,1828,8.98E-05,1.14E-10,0.000225435
66,1832,0.006668747,2.88E-05,0.039313414
67,1833,0.871932135,0.776921253,0.971793095
68,1834,8.51E-05,2.72E-10,0.00027679
69,1835,0.001968071,1.11E-08,0.007405855
70,1836,8.20E-05,2.55E-10,0.000247762
71,1837,0.004769015,1.41E-05,0.029373097
72,1838,8.29E-05,4.07E-10,0.000297538
73,1839,6.61E-05,2.44E-10,0.000205933
74,1840,0.006094226,1.58E-05,0.038174684
75,1841,0.003641136,1.75E-05,0.021092266
76,1845,0.001213683,5.37E-09,0.003976883
77,1848,6.88E-05,2.23E-10,0.000225057
78,1851,7.97E-05,6.08E-10,0.000332259
79,1853,0.000110869,5.95E-10,0.000408023
80,1856,0.001171929,6.83E-09,0.004728039
81,1857,0.000905199,3.98E-09,0.003504423
82,1859,0.000749799,1.02E-08,0.004366703
83,1860,0.004765105,5.50E-05,0.024276136
84,1865,1.837947856,1.597026921,2.094028746
85,1866,0.004165544,1.83E-05,0.024492467
86,1867,6.04E-05,1.39E-10,0.000196601
87,1868,0.006176329,8.97E-06,0.041019773
88,1870,0.003538446,1.27E-05,0.02136915
89,1871,0.005155882,1.09E-05,0.032855416
90,1874,0.00072494,4.48E-09,0.00340827
