,kommunenummer,navn,Y,expected,SMR,kommunenavn.x,radon.level,kommunenavn.y,arsen.air,arsen.water,kommunenavn.x.1,chromium.air,chromium.water,komunenavn,cadmium.air,cadmium.water,kommunenavn.y.1,nickel.air,nickel.water,crowded,poverty,kommunenavn,population,new_cases,pop_size,re_u,re_v,RR,LL,UL
1,301,Oslo,695,8372.33946,0.083011445,Oslo,1.828863991,Oslo,0.166358,0.397772727,Oslo,2.200245455,1.805409091,Oslo,0.275918545,0.108890909,Oslo,2.289327273,0.433109091,20.58333333,12.29090909,Oslo,346184,695,urban,1,1,0.083086785,0.077012739,0.089366666
2,1101,Eigersund,842,249.65684,3.372629406,Eigersund,0.976905888,Eigersund,0.142875,0.1592125,Eigersund,0.145375,0.2385125,Eigersund,0.126625,0.0244625,Eigersund,0.126625,0.379125,5.733333333,8.363636364,Eigersund,7524,842,semi-urban,2,2,3.373897115,3.149437537,3.605341357
3,1103,Stavanger,833,1951.428499,0.42686678,Stavanger,1.012590855,Stavanger,0,0,Stavanger,0,0,Stavanger,0,0,Stavanger,0,0,10.13333333,8.7,Stavanger,72035,833,urban,3,3,0.427228601,0.398660543,0.456689604
4,1106,Haugesund,798,603.6240241,1.322014976,Haugesund,1.417032603,Haugesund,0,0,Haugesund,0,0,Haugesund,0,0,Haugesund,0,0,6.866666667,11.19090909,Haugesund,19126,798,urban,4,4,1.322949756,1.232588025,1.416190832
5,1108,Sandnes,811,1008.58401,0.804097618,Sandnes,1.523844539,Sandnes,0.288818182,0,Sandnes,0,0.806745455,Sandnes,1.083222222,0.027,Sandnes,0.992181818,0,1.383333333,7.5,Sandnes,40505,811,urban,5,5,0.804889259,0.750355436,0.861148044
6,1111,Sokndal,0,63.0464041,0,Sokndal,1.040609092,Sokndal,0,4.211181818,Sokndal,0,35.18609091,Sokndal,0,0.713363636,Sokndal,0,3429.448,6.916666667,9.690909091,Sokndal,1653,0,rural,6,6,19.7833896,1.75E-14,39.89082896
7,1112,Lund,0,61.4409226,0,Lund,1.192150373,Lund,0,0,Lund,0,0,Lund,0,0,Lund,0,0,6.633333333,9.327272727,Lund,1610,0,rural,7,7,0.000311639,1.23E-08,0.002365638
8,1114,Bjerkreim,0,42.59846194,0,Bjerkreim,1.018571425,Bjerkreim,0,0,Bjerkreim,0,0,Bjerkreim,0,0,Bjerkreim,0,0,4.866666667,6.090909091,Bjerkreim,1438,0,rural,8,8,0.00050851,1.92E-08,0.003839762
9,1119,HÃ¥,799,289.4215959,2.760678579,Hå,1.058480925,Hå,0.1670467,0,Hå,0.528488,0,Hå,0.0035415,0,Hå,0.172124,0,6.016666667,6.545454545,Hå,9760,799,semi-urban,9,9,2.761878185,2.573328186,2.956432283
10,1120,Klepp,456,279.8014926,1.629726831,Klepp,1.05071036,Klepp,0,0,Klepp,0,0,Klepp,0,0,Klepp,0,0,6.466666667,6.363636364,Klepp,10064,456,urban,10,10,1.631991407,1.48534323,1.784809483
11,1121,Time,809,272.7456338,2.966133641,Time,1.423224737,Time,0,0,Time,0,0,Time,0,0,Time,0,0,6.966666667,5.909090909,Time,9655,809,semi-urban,11,11,2.967347879,2.766007042,3.175065971
12,1122,Gjesdal,60,129.5676159,0.463078676,Gjesdal,1.222266569,Gjesdal,0,0,Gjesdal,0,0,Gjesdal,0,0,Gjesdal,0,0,7.35,6.290909091,Gjesdal,6091,60,semi-urban,12,12,0.466711985,0.356133763,0.590634995
13,1124,Sola,866,386.1144757,2.242858154,Sola,1.042659728,Sola,0,0.2125,Sola,0,0.376290909,Sola,0,0.022145455,Sola,0,2.544527273,7.366666667,6.381818182,Sola,13962,866,urban,13,13,2.244401175,2.097159188,2.396167985
14,1127,Randaberg,634,187.5552364,3.380337505,Randaberg,1.08181141,Randaberg,0,0.056427273,Randaberg,0,0.316857143,Randaberg,0,0.007681818,Randaberg,0,0.2824,7.016666667,6.663636364,Randaberg,5667,634,semi-urban,14,14,3.381987122,3.123275147,3.649836889
