fylkenummer,fylkenavn,IOs_kjonn,Usually eats fresh fruit and berries daily
1,Østfold,1,44
1,Østfold,2,57
2,Akershus,1,42
2,Akershus,2,56
3,Oslo,1,44
3,Oslo,2,61
4,Hedmark,1,48
4,Hedmark,2,62
5,Oppland,1,41
5,Oppland,2,56
6,Buskerud,1,37
6,Buskerud,2,58
7,Vestfold,1,47
7,Vestfold,2,59
8,Telemark,1,41
8,Telemark,2,54
9,Aust-Agder,1,48
9,Aust-Agder,2,62
10,Vest-Agder,1,45
10,Vest-Agder,2,57
11,Rogaland,1,50
11,Rogaland,2,65
12,Hordaland,1,48
12,Hordaland,2,61
14,Sogn og Fjordane,1,48
14,Sogn og Fjordane,2,60
15,Møre og Romsdal,1,46
15,Møre og Romsdal,2,62
18,Nordland,1,37
18,Nordland,2,56
19,Troms - Romsa,1,40
19,Troms - Romsa,2,59
20,Finnmark - Finnmárku,1,43
20,Finnmark - Finnmárku,2,58
50,Trøndelag - Trööndelage,1,43
50,Trøndelag - Trööndelage,2,54
